Driver,LapNumber,LapTime,Compound
ANT,1.0,100.746,SOFT
ANT,2.0,94.535,SOFT
ANT,3.0,74.313,SOFT
ANT,4.0,94.733,SOFT
ANT,5.0,85.128,SOFT
ANT,6.0,73.946,SOFT
ANT,7.0,94.829,SOFT
ANT,8.0,73.599,SOFT
ANT,9.0,99.218,SOFT
ANT,11.0,100.155,SOFT
ANT,12.0,78.775,SOFT
ANT,13.0,72.778,SOFT
ANT,14.0,99.37,SOFT
ANT,15.0,72.704,SOFT
ANT,16.0,106.626,SOFT
ANT,17.0,85.794,SOFT
ANT,18.0,79.003,SOFT
ANT,19.0,72.753,SOFT
ANT,21.0,91.645,SOFT
ANT,22.0,82.602,SOFT
ANT,23.0,72.375,SOFT
ANT,25.0,96.321,SOFT
ANT,26.0,77.171,SOFT
ANT,27.0,72.051,SOFT
VER,1.0,84.253,SOFT
VER,2.0,81.878,SOFT
VER,3.0,74.504,SOFT
VER,4.0,83.759,SOFT
VER,5.0,74.007,SOFT
VER,6.0,94.959,SOFT
VER,7.0,73.49,SOFT
VER,9.0,92.757,SOFT
VER,10.0,84.53,SOFT
VER,11.0,73.205,SOFT
VER,12.0,91.233,SOFT
VER,13.0,72.84,SOFT
VER,15.0,88.142,SOFT
VER,16.0,77.073,SOFT
VER,17.0,72.499,SOFT
VER,19.0,86.171,SOFT
VER,20.0,83.423,SOFT
VER,21.0,72.376,SOFT
VER,23.0,84.281,SOFT
VER,24.0,78.829,SOFT
VER,25.0,72.094,SOFT
HAM,1.0,95.99,SOFT
HAM,2.0,86.83,SOFT
HAM,3.0,74.342,SOFT
HAM,4.0,105.748,SOFT
HAM,5.0,99.881,SOFT
HAM,6.0,73.804,SOFT
HAM,7.0,92.524,SOFT
HAM,8.0,96.716,SOFT
HAM,9.0,73.777,SOFT
HAM,11.0,92.496,SOFT
HAM,12.0,79.235,SOFT
HAM,13.0,73.091,SOFT
HAM,14.0,145.895,SOFT
HAM,15.0,94.817,SOFT
HAM,16.0,117.75,SOFT
HAM,17.0,98.951,SOFT
HAM,18.0,81.849,SOFT
HAM,19.0,72.934,SOFT
HAM,21.0,98.33,SOFT
HAM,22.0,80.112,SOFT
HAM,23.0,72.553,SOFT
HAM,25.0,92.028,SOFT
HAM,26.0,86.182,SOFT
HAM,27.0,72.279,SOFT
LEC,1.0,101.44,SOFT
LEC,2.0,78.695,SOFT
LEC,3.0,74.141,SOFT
LEC,4.0,92.462,SOFT
LEC,5.0,73.399,SOFT
LEC,6.0,101.686,SOFT
LEC,7.0,78.249,SOFT
LEC,8.0,73.293,SOFT
LEC,9.0,106.345,SOFT
LEC,11.0,96.215,SOFT
LEC,12.0,78.818,SOFT
LEC,13.0,72.928,SOFT
LEC,14.0,97.17,SOFT
LEC,15.0,83.358,SOFT
LEC,16.0,72.774,SOFT
LEC,17.0,119.813,SOFT
LEC,18.0,100.976,SOFT
LEC,19.0,88.293,SOFT
LEC,20.0,73.3,SOFT
LEC,22.0,92.591,SOFT
LEC,23.0,76.662,SOFT
LEC,25.0,82.343,SOFT
LEC,26.0,76.924,SOFT
LEC,27.0,72.351,SOFT
LEC,28.0,98.521,SOFT
HAD,1.0,95.174,SOFT
HAD,2.0,100.055,SOFT
HAD,3.0,93.458,SOFT
HAD,4.0,75.007,SOFT
HAD,5.0,74.617,SOFT
HAD,6.0,101.327,SOFT
HAD,7.0,74.408,SOFT
HAD,10.0,88.433,SOFT
HAD,11.0,83.267,SOFT
HAD,12.0,73.162,SOFT
HAD,14.0,92.767,SOFT
HAD,15.0,81.046,SOFT
HAD,16.0,72.722,SOFT
HAD,18.0,92.614,SOFT
HAD,19.0,78.699,SOFT
