Driver,LapNumber,LapTime,Compound
VER,2.0,78.511,MEDIUM
VER,3.0,123.009,MEDIUM
VER,4.0,78.93,MEDIUM
VER,5.0,103.739,MEDIUM
VER,7.0,78.879,MEDIUM
VER,8.0,132.628,MEDIUM
VER,9.0,78.614,MEDIUM
VER,10.0,93.881,MEDIUM
VER,12.0,77.047,SOFT
VER,13.0,114.122,SOFT
VER,15.0,77.675,SOFT
VER,16.0,90.653,SOFT
VER,18.0,81.988,MEDIUM
VER,19.0,81.907,MEDIUM
VER,20.0,81.86,MEDIUM
VER,21.0,81.969,MEDIUM
VER,22.0,86.895,MEDIUM
VER,23.0,104.262,SOFT
VER,24.0,81.774,SOFT
VER,25.0,81.553,SOFT
VER,26.0,81.756,SOFT
VER,27.0,82.097,SOFT
VER,29.0,94.37,SOFT
BOR,2.0,90.746,MEDIUM
BOR,4.0,80.554,MEDIUM
BOR,5.0,121.431,MEDIUM
BOR,6.0,133.505,MEDIUM
BOR,7.0,79.745,MEDIUM
BOR,8.0,112.098,MEDIUM
BOR,9.0,119.189,MEDIUM
BOR,10.0,79.652,MEDIUM
BOR,11.0,124.77,MEDIUM
BOR,12.0,119.186,MEDIUM
BOR,13.0,109.41,MEDIUM
BOR,15.0,78.209,SOFT
BOR,16.0,131.529,SOFT
BOR,17.0,127.608,SOFT
BOR,18.0,78.783,SOFT
BOR,19.0,102.915,SOFT
BOR,20.0,130.002,SOFT
BOR,21.0,82.84,SOFT
BOR,22.0,82.802,SOFT
BOR,23.0,81.574,SOFT
BOR,24.0,81.4,SOFT
BOR,25.0,83.781,SOFT
BOR,26.0,83.37,SOFT
BOR,27.0,126.329,SOFT
BOR,28.0,139.807,SOFT
GAS,2.0,105.991,MEDIUM
GAS,4.0,79.864,MEDIUM
GAS,5.0,118.959,MEDIUM
GAS,6.0,100.304,MEDIUM
GAS,7.0,79.401,MEDIUM
GAS,8.0,129.7,MEDIUM
GAS,9.0,104.37,MEDIUM
GAS,10.0,80.076,MEDIUM
GAS,11.0,123.623,MEDIUM
GAS,12.0,128.83,MEDIUM
GAS,13.0,101.216,MEDIUM
GAS,14.0,79.787,MEDIUM
GAS,15.0,102.939,MEDIUM
GAS,17.0,78.508,SOFT
GAS,19.0,126.167,SOFT
GAS,20.0,85.74,SOFT
GAS,22.0,82.601,MEDIUM
GAS,23.0,91.342,MEDIUM
ALO,2.0,82.972,MEDIUM
ALO,3.0,108.602,MEDIUM
ALO,4.0,81.227,MEDIUM
ALO,5.0,119.019,MEDIUM
ALO,6.0,81.435,MEDIUM
ALO,7.0,111.967,MEDIUM
ALO,9.0,87.46,MEDIUM
ALO,10.0,101.625,MEDIUM
ALO,11.0,82.513,MEDIUM
ALO,12.0,98.815,MEDIUM
ALO,14.0,80.067,SOFT
ALO,15.0,121.748,SOFT
ALO,16.0,141.912,SOFT
ALO,17.0,81.287,SOFT
ALO,18.0,119.145,SOFT
ALO,20.0,107.049,SOFT
ALO,21.0,86.887,SOFT
ALO,22.0,120.038,SOFT
ALO,23.0,135.722,SOFT
LEC,2.0,93.262,MEDIUM
LEC,3.0,79.152,MEDIUM
LEC,4.0,120.711,MEDIUM
LEC,5.0,78.009,MEDIUM
LEC,6.0,120.378,MEDIUM
LEC,7.0,149.174,MEDIUM
LEC,8.0,87.641,MEDIUM
LEC,10.0,78.731,MEDIUM
LEC,11.0,111.8,MEDIUM
LEC,12.0,149.211,MEDIUM
LEC,13.0,78.512,MEDIUM
LEC,14.0,106.624,MEDIUM
LEC,16.0,76.883,SOFT
LEC,17.0,129.475,SOFT
LEC,18.0,125.009,SOFT
LEC,19.0,77.36,SOFT
LEC,20.0,87.74,SOFT
LEC,22.0,81.745,MEDIUM
LEC,23.0,81.415,MEDIUM
LEC,24.0,81.861,MEDIUM
LEC,25.0,82.804,MEDIUM
LEC,26.0,84.563,MEDIUM
LEC,27.0,116.339,MEDIUM
LEC,28.0,133.011,MEDIUM
LEC,29.0,118.781,MEDIUM
STR,2.0,81.957,MEDIUM
STR,3.0,108.821,MEDIUM
STR,4.0,81.283,MEDIUM
STR,5.0,116.783,MEDIUM
STR,6.0,143.042,MEDIUM
STR,7.0,81.439,MEDIUM
STR,8.0,116.472,MEDIUM
STR,10.0,81.71,MEDIUM
STR,11.0,111.622,MEDIUM
STR,12.0,94.241,MEDIUM
STR,14.0,80.318,SOFT
STR,16.0,132.441,SOFT
STR,17.0,80.347,SOFT
STR,18.0,141.443,SOFT
STR,20.0,80.617,SOFT
STR,21.0,100.463,SOFT
HER,2.0,84.225,SOFT
HER,3.0,117.23,SOFT
HER,4.0,82.665,SOFT
HER,5.0,128.146,SOFT
HER,6.0,120.098,SOFT
HER,7.0,82.017,SOFT
HER,8.0,129.412,SOFT
HER,9.0,130.811,SOFT
HER,10.0,81.363,SOFT
HER,11.0,118.981,SOFT
HER,13.0,80.716,SOFT
HER,14.0,130.978,SOFT
HER,16.0,80.697,SOFT
HER,17.0,118.718,SOFT
HER,19.0,83.305,SOFT
HER,20.0,83.81,SOFT
HER,21.0,84.22,SOFT
HER,22.0,84.309,SOFT
HER,23.0,85.15,SOFT
HER,24.0,85.358,SOFT
HER,25.0,85.91,SOFT
HER,26.0,131.923,SOFT
LAW,2.0,101.336,MEDIUM
LAW,3.0,78.397,MEDIUM
LAW,4.0,126.779,MEDIUM
LAW,5.0,119.332,MEDIUM
LAW,6.0,78.061,MEDIUM
LAW,7.0,117.596,MEDIUM
LAW,8.0,130.03,MEDIUM
LAW,9.0,87.403,MEDIUM
LAW,11.0,79.169,MEDIUM
LAW,12.0,114.429,MEDIUM
LAW,13.0,79.576,MEDIUM
LAW,14.0,93.622,MEDIUM
LAW,16.0,77.472,SOFT
LAW,17.0,100.645,SOFT
LAW,18.0,102.286,SOFT
LAW,19.0,120.032,MEDIUM
LAW,21.0,83.192,SOFT
LAW,22.0,83.393,SOFT
LAW,23.0,109.756,SOFT
LAW,24.0,135.947,SOFT
OCO,2.0,81.947,HARD
OCO,3.0,119.077,HARD
OCO,4.0,111.031,HARD
OCO,5.0,80.771,HARD
OCO,6.0,115.313,HARD
OCO,8.0,80.194,HARD
OCO,9.0,125.891,HARD
OCO,10.0,110.902,HARD
OCO,11.0,80.315,HARD
OCO,12.0,114.695,HARD
OCO,14.0,78.372,SOFT
OCO,15.0,97.716,SOFT
OCO,17.0,81.265,HARD
OCO,18.0,82.492,HARD
OCO,19.0,82.219,HARD
OCO,20.0,87.063,HARD
OCO,21.0,125.811,HARD
OCO,22.0,82.923,HARD
OCO,23.0,83.183,HARD
OCO,24.0,83.708,HARD
OCO,25.0,91.422,HARD
OCO,26.0,118.54,HARD
OCO,27.0,137.802,HARD
IWA,2.0,85.666,MEDIUM
IWA,3.0,96.118,MEDIUM
IWA,5.0,97.326,MEDIUM
IWA,7.0,80.527,MEDIUM
IWA,8.0,121.818,MEDIUM
IWA,9.0,79.509,MEDIUM
IWA,10.0,86.847,MEDIUM
IWA,11.0,83.317,MEDIUM
IWA,12.0,82.523,MEDIUM
IWA,13.0,82.855,MEDIUM
IWA,14.0,91.267,MEDIUM
IWA,16.0,78.298,SOFT
IWA,17.0,111.277,SOFT
IWA,18.0,120.265,SOFT
IWA,19.0,79.749,SOFT
IWA,20.0,92.074,SOFT
IWA,21.0,105.368,SOFT
BEG,2.0,85.203,MEDIUM
BEG,3.0,83.395,MEDIUM
BEG,4.0,83.044,MEDIUM
BEG,5.0,81.012,MEDIUM
BEG,6.0,81.6,MEDIUM
BEG,7.0,81.94,MEDIUM
BEG,8.0,81.231,MEDIUM
BEG,9.0,92.935,MEDIUM
BEG,11.0,81.074,MEDIUM
BEG,12.0,107.957,MEDIUM
BEG,13.0,107.769,MEDIUM
