Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-12 14:53:51,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2026-06-12 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-12 15:11:22,Other,CAR 63 (RUS) TIME 2:02.240 DELETED - TRACK LIMITS AT TURN 3 LAP 3 17:09:26,,,,,,
2026-06-12 15:12:25,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 6 17:11:35 (PIT),,,,,,
2026-06-12 15:15:39,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-06-12 15:15:49,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-06-12 15:15:57,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2026-06-12 15:15:59,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-06-12 15:16:09,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-06-12 15:16:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2026-06-12 15:16:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2026-06-12 15:16:51,Other,MARSHALS ON TRACK AT TURN 1,,,,,,
2026-06-12 15:18:21,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2026-06-12 15:18:22,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-06-12 15:18:24,SafetyCar,VSC ENDING,ENDING,,,,,
2026-06-12 15:18:38,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-06-12 15:33:18,Other,INCIDENT INVOLVING CAR 14 (ALO) NOTED - CROSSING THE LINE AT PIT EXIT (17:30:22),,,,,,
2026-06-12 15:33:34,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 12 17:32:20,,,,,,
2026-06-12 15:33:37,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 11 17:31:51 (PIT),,,,,,
2026-06-12 15:35:00,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - CROSSING THE LINE AT PIT EXIT (17:30:22),,,,,,
2026-06-12 15:36:01,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 11 17:33:44 (PIT),,,,,,
2026-06-12 15:43:53,Other,YELLOW IN PIT LANE,,,,,,
2026-06-12 15:44:51,Other,PIT LANE CLEAR,,,,,,
2026-06-12 15:49:53,Other,CAR 6 (HAD) TIME 1:22.059 DELETED - TRACK LIMITS AT TURN 10 LAP 17 17:42:54,,,,,,
2026-06-12 15:52:36,Other,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 6 (HAD) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK (17:49:11),,,,,,
2026-06-12 15:54:04,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 22 17:53:02 (PIT),,,,,,
2026-06-12 15:54:14,Other,CAR 10 (GAS) TIME 1:25.456 DELETED - TRACK LIMITS AT TURN 13 LAP 23 17:52:59,,,,,,
2026-06-12 15:55:23,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 26 17:54:29 (PIT),,,,,,
2026-06-12 16:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-12 16:00:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 5 (BOR),,,,,,
2026-06-12 16:01:37,Flag,BLACK AND WHITE FLAG FOR CAR 11 (PER) - DRIVING ERRATICALLY (17:49:11),,BLACK AND WHITE,Driver,,11,
2026-06-12 16:07:32,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2026-06-12 16:07:33,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-06-12 16:07:38,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2026-06-12 16:07:54,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-06-12 16:08:19,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2026-06-12 16:08:19,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-06-12 16:08:23,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-06-12 16:08:47,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2026-06-12 16:09:08,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
