Driver,LapNumber,LapTime,Compound
RUS,2.0,75.717,SOFT
RUS,3.0,114.865,SOFT
RUS,5.0,75.228,SOFT
RUS,6.0,107.818,SOFT
RUS,9.0,75.145,SOFT
RUS,10.0,101.582,SOFT
RUS,11.0,123.803,SOFT
RUS,12.0,74.679,SOFT
RUS,13.0,115.988,SOFT
HAM,2.0,75.625,SOFT
HAM,3.0,112.937,SOFT
HAM,5.0,75.418,SOFT
HAM,6.0,98.042,SOFT
HAM,10.0,75.71,SOFT
HAM,11.0,89.429,SOFT
HAM,13.0,74.743,SOFT
HAM,14.0,110.486,SOFT
ANT,2.0,75.977,SOFT
ANT,3.0,148.614,SOFT
ANT,5.0,75.295,SOFT
ANT,6.0,97.661,SOFT
ANT,10.0,75.414,SOFT
ANT,11.0,93.843,SOFT
ANT,12.0,142.344,SOFT
ANT,13.0,74.998,SOFT
ANT,14.0,104.605,SOFT
NOR,2.0,76.287,SOFT
NOR,3.0,104.078,SOFT
NOR,5.0,76.021,SOFT
NOR,6.0,95.051,SOFT
NOR,8.0,75.361,SOFT
NOR,9.0,101.748,SOFT
NOR,13.0,75.001,SOFT
VER,2.0,76.352,SOFT
VER,3.0,111.985,SOFT
VER,5.0,75.484,SOFT
VER,6.0,110.29,SOFT
VER,8.0,75.328,SOFT
VER,11.0,75.021,SOFT
HAD,2.0,76.427,SOFT
HAD,3.0,101.972,SOFT
HAD,5.0,75.754,SOFT
HAD,6.0,149.111,SOFT
HAD,10.0,75.65,SOFT
HAD,11.0,90.073,SOFT
HAD,13.0,75.077,SOFT
PIA,2.0,76.138,SOFT
PIA,3.0,105.915,SOFT
PIA,5.0,76.352,SOFT
PIA,6.0,93.452,SOFT
PIA,8.0,75.518,SOFT
PIA,9.0,104.417,SOFT
PIA,11.0,75.176,SOFT
PIA,14.0,75.09,SOFT
LAW,2.0,76.673,SOFT
LAW,3.0,98.009,SOFT
LAW,5.0,76.18,SOFT
LAW,6.0,98.962,SOFT
LAW,8.0,75.585,SOFT
LAW,9.0,99.951,SOFT
LAW,13.0,76.542,SOFT
HUL,2.0,76.954,SOFT
HUL,3.0,138.864,SOFT
HUL,5.0,76.066,SOFT
HUL,6.0,106.621,SOFT
HUL,8.0,76.922,SOFT
HUL,9.0,97.301,SOFT
HUL,11.0,75.768,SOFT
HUL,12.0,101.987,SOFT
HUL,16.0,76.657,SOFT
LEC,2.0,75.964,SOFT
LEC,3.0,107.708,SOFT
LEC,5.0,75.281,SOFT
LEC,6.0,99.603,SOFT
LIN,2.0,76.425,SOFT
LIN,3.0,98.087,SOFT
LIN,5.0,75.84,SOFT
LIN,6.0,104.175,SOFT
LIN,8.0,138.746,SOFT
BOR,2.0,76.616,SOFT
BOR,3.0,109.031,SOFT
BOR,5.0,76.66,SOFT
BOR,6.0,104.695,SOFT
BOR,8.0,76.001,SOFT
COL,2.0,77.225,SOFT
COL,3.0,110.052,SOFT
COL,5.0,76.59,SOFT
COL,6.0,111.408,SOFT
COL,8.0,77.376,SOFT
COL,9.0,115.967,SOFT
COL,11.0,76.191,SOFT
COL,12.0,110.396,SOFT
GAS,2.0,77.08,SOFT
GAS,3.0,109.717,SOFT
GAS,5.0,76.599,SOFT
GAS,6.0,108.467,SOFT
GAS,8.0,77.626,SOFT
GAS,9.0,149.15,SOFT
GAS,11.0,76.261,SOFT
GAS,12.0,107.616,SOFT
BEA,2.0,78.216,MEDIUM
BEA,3.0,109.016,MEDIUM
BEA,5.0,77.444,SOFT
BEA,6.0,105.07,SOFT
BEA,8.0,76.571,SOFT
BEA,9.0,110.344,SOFT
BEA,11.0,77.5,SOFT
BEA,12.0,119.446,SOFT
BEA,14.0,76.389,SOFT
BEA,15.0,111.531,SOFT
SAI,2.0,78.107,SOFT
SAI,3.0,107.154,SOFT
SAI,5.0,78.173,SOFT
SAI,6.0,132.872,SOFT
SAI,8.0,76.881,SOFT
SAI,9.0,103.646,SOFT
SAI,11.0,78.395,SOFT
SAI,12.0,110.563,SOFT
SAI,14.0,77.827,SOFT
SAI,15.0,108.815,SOFT
OCO,2.0,78.171,MEDIUM
OCO,3.0,144.265,MEDIUM
OCO,5.0,78.136,SOFT
OCO,6.0,99.45,SOFT
OCO,8.0,77.073,SOFT
OCO,9.0,107.501,SOFT
ALB,2.0,78.252,SOFT
ALB,3.0,108.459,SOFT
ALB,5.0,80.269,SOFT
ALB,6.0,93.19,SOFT
ALB,8.0,77.424,SOFT
PER,2.0,78.13,SOFT
PER,3.0,104.768,SOFT
PER,5.0,77.545,SOFT
PER,6.0,106.382,SOFT
BOT,2.0,79.105,SOFT
BOT,3.0,96.445,SOFT
BOT,5.0,78.237,SOFT
BOT,6.0,99.413,SOFT
BOT,8.0,77.757,SOFT
BOT,9.0,109.7,SOFT
STR,2.0,79.996,SOFT
STR,3.0,96.135,SOFT
STR,5.0,100.342,SOFT
STR,7.0,78.758,SOFT
STR,8.0,98.932,SOFT
ALO,2.0,79.286,SOFT
ALO,3.0,109.533,SOFT
ALO,5.0,92.041,SOFT
ALO,7.0,78.815,SOFT
ALO,8.0,98.426,SOFT
