Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-13 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-13 14:09:39,Flag,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - DRIVING UNNECESSARILY SLOWLY (16:06:31),,BLACK AND WHITE,Driver,,44,
2026-06-13 14:10:22,Other,CAR 55 (SAI) TIME 1:18.173 DELETED - TRACK LIMITS AT TURN 2 LAP 6 16:08:58,,,,,,
2026-06-13 14:10:36,Other,CAR 23 (ALB) TIME 1:20.269 DELETED - TRACK LIMITS AT TURN 9 LAP 6 16:09:43,,,,,,
2026-06-13 14:10:47,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2026-06-13 14:10:53,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2026-06-13 14:11:26,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 6 16:10:41 (PIT),,,,,,
2026-06-13 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-13 14:18:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
2026-06-13 14:20:14,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2026-06-13 14:20:16,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2026-06-13 14:20:23,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2026-06-13 14:20:24,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-06-13 14:20:44,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 23 (ALB), 81 (PIA), 31 (OCO), 77 (BOT), 18 (STR), 63 (RUS) AND 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-13 14:20:57,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2026-06-13 14:21:01,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 55 (SAI), 23 (ALB), 81 (PIA), 31 (OCO), 77 (BOT), 18 (STR), 63 (RUS) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-13 14:21:12,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2026-06-13 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
