Driver,LapNumber,GapTime
NOR,0.667,2.25
GAS,0.667,6.359
PER,0.667,8.109
ANT,0.667,1.7970000000000002
ALO,0.667,10.871
LEC,0.667,3.984
STR,0.667,9.406
ALB,0.667,7.984
HUL,0.667,5.39
VER,0.667,2.875
LAW,0.667,4.422
OCO,0.667,7.75
LIN,0.667,5.047
COL,0.667,5.734
HAM,0.667,1.172
BOR,0.667,7.75
SAI,0.667,6.547
HAD,0.667,7.125
RUS,0.667,0.0
BOT,0.667,8.484
PIA,0.667,3.203
BEA,0.667,7.078
NOR,1.000,2.656
GAS,1.000,7.562
PER,1.000,10.306
ANT,1.000,1.984
ALO,1.000,12.634
LEC,1.000,4.781
STR,1.000,11.493
ALB,1.000,10.031
HUL,1.000,6.453
VER,1.000,3.343
LAW,1.000,5.562
OCO,1.000,9.318
LIN,1.000,5.953
COL,1.000,6.906
HAM,1.000,1.171
BOR,1.000,9.494
SAI,1.000,7.906
HAD,1.000,8.49
RUS,1.000,0.0
BOT,1.000,10.868
PIA,1.000,4.0
BEA,1.000,9.089
NOR,1.333,2.684
GAS,1.333,8.059
PER,1.333,11.334
ANT,1.333,2.1
ALO,1.333,13.803
LEC,1.333,5.45
STR,1.333,12.636
ALB,1.333,10.807
HUL,1.333,6.971
VER,1.333,3.363
LAW,1.333,6.098
OCO,1.333,9.972
LIN,1.333,6.541
COL,1.333,7.341
HAM,1.333,1.475
BOR,1.333,10.526
SAI,1.333,8.635
HAD,1.333,9.08
RUS,1.333,0.0
BOT,1.333,11.962
PIA,1.333,4.221
BEA,1.333,10.347
NOR,1.667,3.326
GAS,1.667,9.622
PER,1.667,13.363
ANT,1.667,2.667
ALO,1.667,15.718
LEC,1.667,6.067
STR,1.667,15.195
ALB,1.667,12.863
HUL,1.667,8.125
VER,1.667,4.227
LAW,1.667,7.35
OCO,1.667,11.281
LIN,1.667,8.68
COL,1.667,9.048
HAM,1.667,1.671
BOR,1.667,12.27
SAI,1.667,10.348
HAD,1.667,10.648
RUS,1.667,0.0
BOT,1.667,14.231
PIA,1.667,4.931
BEA,1.667,11.791
NOR,2.000,3.466
GAS,2.000,10.433
PER,2.000,14.481
ANT,2.000,2.582
ALO,2.000,16.919
LEC,2.000,6.283
STR,2.000,16.468
ALB,2.000,13.858
HUL,2.000,8.434
VER,2.000,4.576
LAW,2.000,7.888
OCO,2.000,12.349
LIN,2.000,9.251
COL,2.000,9.723
HAM,2.000,1.391
BOR,2.000,13.203
SAI,2.000,11.28
HAD,2.000,11.626
RUS,2.000,0.0
BOT,2.000,15.481
PIA,2.000,5.251
BEA,2.000,12.886
NOR,2.333,3.641
GAS,2.333,10.632
PER,2.333,15.162
ANT,2.333,2.893
ALO,2.333,18.169
LEC,2.333,6.515
STR,2.333,17.299
ALB,2.333,14.396
HUL,2.333,8.472
VER,2.333,4.625
LAW,2.333,8.274000000000001
OCO,2.333,12.904
LIN,2.333,9.571
COL,2.333,10.161
HAM,2.333,1.675
BOR,2.333,13.629
SAI,2.333,12.054
HAD,2.333,11.761
RUS,2.333,0.0
BOT,2.333,16.247
PIA,2.333,5.355
BEA,2.333,13.424
NOR,2.667,4.233
GAS,2.667,12.311
PER,2.667,17.136
ANT,2.667,3.167
ALO,2.667,20.268
LEC,2.667,7.033
STR,2.667,19.472
ALB,2.667,16.554
HUL,2.667,10.255
VER,2.667,5.342
LAW,2.667,9.532
OCO,2.667,14.701
LIN,2.667,11.262
COL,2.667,11.792
HAM,2.667,1.986
BOR,2.667,15.742
SAI,2.667,14.226
HAD,2.667,13.148
RUS,2.667,0.0
BOT,2.667,18.399
PIA,2.667,6.082
BEA,2.667,15.217
NOR,3.000,4.409
GAS,3.000,13.173
PER,3.000,18.38
ANT,3.000,3.223
ALO,3.000,21.694
LEC,3.000,7.454
STR,3.000,20.893
ALB,3.000,17.703
HUL,3.000,10.955
VER,3.000,5.8309999999999995
LAW,3.000,10.149
OCO,3.000,15.854
LIN,3.000,11.843
COL,3.000,12.604
HAM,3.000,1.982
BOR,3.000,16.802
SAI,3.000,15.12
HAD,3.000,13.99
RUS,3.000,0.0
BOT,3.000,19.747
PIA,3.000,6.712
BEA,3.000,16.348
NOR,3.333,4.529
GAS,3.333,13.533
PER,3.333,18.973
ANT,3.333,3.287
ALO,3.333,22.654
LEC,3.333,7.62
STR,3.333,21.884
ALB,3.333,18.277
HUL,3.333,11.143
VER,3.333,5.9399999999999995
LAW,3.333,10.51
OCO,3.333,16.503
LIN,3.333,12.235
COL,3.333,13.054
HAM,3.333,2.205
BOR,3.333,17.237
SAI,3.333,15.775
HAD,3.333,14.116
RUS,3.333,0.0
BOT,3.333,20.789
PIA,3.333,6.755
BEA,3.333,16.939
NOR,3.667,4.891
GAS,3.667,14.878
PER,3.667,20.681
ANT,3.667,3.482
ALO,3.667,24.604
LEC,3.667,7.942
STR,3.667,23.922
ALB,3.667,20.041
HUL,3.667,12.223
VER,3.667,6.429
LAW,3.667,11.393
OCO,3.667,17.696
LIN,3.667,13.328
COL,3.667,14.306
HAM,3.667,2.516
BOR,3.667,18.888
SAI,3.667,17.157
HAD,3.667,15.434
RUS,3.667,0.0
BOT,3.667,22.67
PIA,3.667,7.277
BEA,3.667,18.297
NOR,4.000,5.138
GAS,4.000,15.656
PER,4.000,22.037
ANT,4.000,3.45
ALO,4.000,25.729
LEC,4.000,8.324
STR,4.000,25.279
ALB,4.000,20.979
HUL,4.000,12.717
VER,4.000,6.785
LAW,4.000,11.973
OCO,4.000,18.675
LIN,4.000,14.104
COL,4.000,14.957
HAM,4.000,2.517
BOR,4.000,19.871
SAI,4.000,17.799
HAD,4.000,16.353
RUS,4.000,0.0
BOT,4.000,23.957
PIA,4.000,7.7219999999999995
BEA,4.000,19.39
NOR,4.333,5.304
GAS,4.333,16.074
PER,4.333,22.691
ANT,4.333,3.396
ALO,4.333,26.696
LEC,4.333,8.491
STR,4.333,26.236
ALB,4.333,21.737
HUL,4.333,12.891
VER,4.333,6.776
LAW,4.333,12.447
OCO,4.333,19.274
LIN,4.333,14.524000000000001
COL,4.333,15.389
HAM,4.333,2.664
BOR,4.333,20.344
SAI,4.333,18.431
HAD,4.333,16.451
RUS,4.333,0.0
BOT,4.333,24.901
PIA,4.333,7.777
BEA,4.333,19.911
NOR,4.667,5.705
GAS,4.667,17.495
PER,4.667,24.084
ANT,4.667,3.493
ALO,4.667,28.546
LEC,4.667,8.743
STR,4.667,27.954
ALB,4.667,23.209
HUL,4.667,14.072
VER,4.667,7.03
LAW,4.667,13.307
OCO,4.667,20.477
LIN,4.667,15.508
COL,4.667,16.652
HAM,4.667,2.574
BOR,4.667,21.938
SAI,4.667,19.658
HAD,4.667,17.847
RUS,4.667,0.0
BOT,4.667,26.649
PIA,4.667,8.198
BEA,4.667,21.305
NOR,5.000,5.998
GAS,5.000,18.326
PER,5.000,25.378
ANT,5.000,3.471
ALO,5.000,30.03
LEC,5.000,8.96
STR,5.000,37.197
ALB,5.000,24.259
HUL,5.000,14.677
VER,5.000,7.3870000000000005
LAW,5.000,13.92
OCO,5.000,21.401
LIN,5.000,16.253
COL,5.000,17.439
HAM,5.000,2.392
BOR,5.000,22.886
SAI,5.000,20.371
HAD,5.000,18.724
RUS,5.000,0.0
BOT,5.000,28.073
PIA,5.000,8.537
BEA,5.000,22.178
NOR,5.333,6.136
GAS,5.333,18.8
PER,5.333,26.026
ANT,5.333,3.5
ALO,5.333,30.806
LEC,5.333,9.815
ALB,5.333,24.988
HUL,5.333,14.66
VER,5.333,7.348
LAW,5.333,14.391
OCO,5.333,22.038
LIN,5.333,16.859
COL,5.333,17.973
HAM,5.333,2.597
BOR,5.333,23.358
SAI,5.333,21.014
HAD,5.333,18.558
RUS,5.333,0.0
BOT,5.333,29.051
PIA,5.333,8.641
BEA,5.333,22.705
NOR,5.667,6.62
GAS,5.667,20.831
PER,5.667,27.745
ANT,5.667,3.89
ALO,5.667,32.78
LEC,5.667,10.207
ALB,5.667,26.607
HUL,5.667,16.644
VER,5.667,7.986
LAW,5.667,15.961
OCO,5.667,23.6
LIN,5.667,18.372
COL,5.667,19.356
HAM,5.667,2.85
BOR,5.667,25.095
SAI,5.667,22.559
HAD,5.667,20.093
RUS,5.667,0.0
BOT,5.667,30.953
PIA,5.667,9.103
BEA,5.667,24.365
NOR,6.000,6.751
GAS,6.000,21.661
PER,6.000,28.921
ANT,6.000,3.99
ALO,6.000,33.836
LEC,6.000,10.322
ALB,6.000,27.466
HUL,6.000,17.44
VER,6.000,8.327
LAW,6.000,16.65
OCO,6.000,24.563
LIN,6.000,19.194
COL,6.000,19.914
HAM,6.000,2.809
BOR,6.000,25.961
SAI,6.000,23.176
HAD,6.000,20.75
RUS,6.000,0.0
BOT,6.000,32.26
PIA,6.000,9.362
BEA,6.000,25.297
NOR,6.333,6.914
GAS,6.333,22.078
PER,6.333,29.814
ANT,6.333,4.292
ALO,6.333,34.936
LEC,6.333,10.396
ALB,6.333,28.309
HUL,6.333,17.561
VER,6.333,8.347
LAW,6.333,17.197
OCO,6.333,25.374
LIN,6.333,19.968
COL,6.333,20.599
HAM,6.333,2.908
BOR,6.333,26.64
SAI,6.333,23.946
HAD,6.333,20.788
RUS,6.333,0.0
BOT,6.333,33.32
PIA,6.333,9.498
BEA,6.333,25.879
NOR,6.667,7.407
GAS,6.667,23.468
PER,6.667,31.136
ANT,6.667,4.529
ALO,6.667,36.494
LEC,6.667,10.675
ALB,6.667,29.886
HUL,6.667,19.137
VER,6.667,8.799
LAW,6.667,18.155
OCO,6.667,26.777
LIN,6.667,21.205
COL,6.667,22.745
HAM,6.667,2.985
BOR,6.667,28.322
SAI,6.667,25.284
HAD,6.667,21.922
RUS,6.667,0.0
BOT,6.667,34.934
PIA,6.667,10.004
BEA,6.667,27.526
NOR,7.000,7.421
GAS,7.000,24.36
PER,7.000,32.324
ANT,7.000,4.391
ALO,7.000,37.482
LEC,7.000,10.737
ALB,7.000,30.887
HUL,7.000,20.081
VER,7.000,8.983
LAW,7.000,18.746
OCO,7.000,27.73
LIN,7.000,22.033
COL,7.000,23.666
HAM,7.000,3.059
BOR,7.000,29.498
SAI,7.000,26.057
HAD,7.000,22.64
RUS,7.000,0.0
BOT,7.000,36.254
PIA,7.000,10.244
BEA,7.000,28.711
NOR,7.333,7.585
GAS,7.333,24.722
PER,7.333,33.301
ANT,7.333,4.682
ALO,7.333,38.369
LEC,7.333,10.618
ALB,7.333,31.797
HUL,7.333,20.701999999999998
VER,7.333,9.059
LAW,7.333,19.372
OCO,7.333,28.471
LIN,7.333,22.546
COL,7.333,24.335
HAM,7.333,3.058
BOR,7.333,30.191
SAI,7.333,26.805
HAD,7.333,23.004
RUS,7.333,0.0
BOT,7.333,37.42
PIA,7.333,10.736
BEA,7.333,29.336
