Driver,LapNumber,LapTime,Compound
NOR,1.0,87.198,MEDIUM
NOR,2.0,82.251,MEDIUM
NOR,3.0,82.422,MEDIUM
NOR,4.0,82.773,MEDIUM
NOR,5.0,83.287,MEDIUM
NOR,6.0,83.226,MEDIUM
NOR,7.0,83.357,MEDIUM
NOR,8.0,83.392,MEDIUM
NOR,9.0,83.501,MEDIUM
NOR,10.0,83.319,MEDIUM
NOR,11.0,83.401,MEDIUM
NOR,12.0,83.618,MEDIUM
NOR,13.0,87.846,MEDIUM
NOR,14.0,100.651,HARD
NOR,15.0,82.07,HARD
NOR,16.0,82.193,HARD
NOR,17.0,81.944,HARD
NOR,18.0,81.981,HARD
NOR,19.0,82.354,HARD
NOR,20.0,82.243,HARD
NOR,21.0,82.375,HARD
NOR,22.0,82.022,HARD
NOR,23.0,82.279,HARD
NOR,24.0,82.444,HARD
NOR,25.0,82.463,HARD
NOR,26.0,82.664,HARD
NOR,27.0,82.909,HARD
NOR,28.0,82.66,HARD
NOR,29.0,83.254,HARD
NOR,30.0,83.156,HARD
NOR,31.0,82.947,HARD
NOR,32.0,83.597,HARD
NOR,33.0,82.849,HARD
NOR,34.0,83.115,HARD
NOR,35.0,87.299,HARD
NOR,36.0,99.962,HARD
NOR,37.0,80.232,HARD
NOR,38.0,81.112,HARD
NOR,39.0,81.165,HARD
NOR,40.0,88.389,HARD
NOR,41.0,106.938,HARD
NOR,42.0,85.074,HARD
NOR,43.0,80.931,HARD
NOR,44.0,80.806,HARD
NOR,45.0,80.928,HARD
NOR,46.0,80.83,HARD
NOR,47.0,80.948,HARD
NOR,48.0,81.2,HARD
NOR,49.0,81.262,HARD
NOR,50.0,80.962,HARD
NOR,51.0,81.253,HARD
NOR,52.0,81.606,HARD
NOR,53.0,81.811,HARD
NOR,54.0,81.809,HARD
NOR,55.0,81.964,HARD
NOR,56.0,82.127,HARD
NOR,57.0,82.223,HARD
NOR,58.0,82.252,HARD
NOR,59.0,82.489,HARD
NOR,60.0,82.4,HARD
NOR,61.0,83.142,HARD
NOR,62.0,82.724,HARD
NOR,63.0,109.473,HARD
NOR,64.0,108.341,HARD
NOR,65.0,86.01,HARD
NOR,66.0,82.401,HARD
GAS,1.0,92.099,MEDIUM
GAS,2.0,84.303,MEDIUM
GAS,3.0,84.219,MEDIUM
GAS,4.0,84.527,MEDIUM
GAS,5.0,85.097,MEDIUM
GAS,6.0,85.808,MEDIUM
GAS,7.0,85.386,MEDIUM
GAS,8.0,85.72,MEDIUM
GAS,9.0,86.054,MEDIUM
GAS,10.0,86.055,MEDIUM
GAS,11.0,85.954,MEDIUM
GAS,12.0,85.806,MEDIUM
GAS,13.0,85.798,MEDIUM
GAS,14.0,89.745,MEDIUM
GAS,15.0,102.799,HARD
GAS,16.0,83.023,HARD
GAS,17.0,83.237,HARD
GAS,18.0,83.512,HARD
GAS,19.0,83.619,HARD
GAS,20.0,83.826,HARD
GAS,21.0,83.789,HARD
GAS,22.0,83.988,HARD
