Driver,LapNumber,LapTime,Compound
NOR,2.0,67.832,SOFT
NOR,3.0,103.879,SOFT
NOR,5.0,82.399,SOFT
NOR,6.0,67.681,SOFT
NOR,7.0,112.994,SOFT
NOR,8.0,115.152,SOFT
NOR,9.0,67.676,SOFT
NOR,10.0,90.283,SOFT
NOR,12.0,67.36,SOFT
NOR,13.0,112.602,SOFT
NOR,14.0,120.112,SOFT
NOR,15.0,67.626,SOFT
NOR,16.0,85.327,SOFT
NOR,17.0,109.298,SOFT
NOR,19.0,104.815,SOFT
NOR,20.0,111.153,SOFT
VER,2.0,67.804,SOFT
VER,3.0,136.625,SOFT
VER,4.0,118.624,SOFT
VER,5.0,67.746,SOFT
VER,6.0,137.39,SOFT
VER,7.0,126.868,SOFT
VER,8.0,67.607,SOFT
VER,9.0,81.501,SOFT
VER,11.0,67.369,SOFT
VER,12.0,113.772,SOFT
VER,14.0,92.643,SOFT
VER,15.0,114.887,SOFT
VER,16.0,109.87,SOFT
BOR,2.0,68.793,SOFT
BOR,3.0,115.426,SOFT
BOR,5.0,68.625,SOFT
BOR,6.0,97.18,SOFT
BOR,8.0,70.348,SOFT
BOR,9.0,81.415,SOFT
BOR,10.0,98.361,SOFT
BOR,11.0,70.431,SOFT
BOR,12.0,70.515,SOFT
BOR,13.0,70.443,SOFT
BOR,14.0,74.964,SOFT
BOR,16.0,68.311,SOFT
BOR,17.0,104.973,SOFT
BOR,19.0,68.522,SOFT
BOR,20.0,94.21,SOFT
BOR,21.0,106.298,SOFT
BOR,22.0,110.629,SOFT
HAD,2.0,69.23,HARD
HAD,3.0,128.136,HARD
HAD,4.0,113.976,HARD
HAD,5.0,68.55,HARD
HAD,6.0,97.471,HARD
HAD,8.0,68.501,HARD
HAD,9.0,74.53,HARD
HAD,10.0,69.562,HARD
HAD,11.0,70.251,HARD
HAD,12.0,69.875,HARD
HAD,13.0,69.681,HARD
HAD,14.0,69.819,HARD
HAD,15.0,77.196,HARD
HAD,17.0,101.353,SOFT
HAD,18.0,105.473,SOFT
HAD,19.0,130.45,SOFT
HAD,20.0,68.046,SOFT
HAD,21.0,129.905,SOFT
HAD,22.0,103.204,SOFT
HAD,23.0,92.084,SOFT
HAD,24.0,67.912,SOFT
HAD,25.0,96.221,SOFT
HAD,26.0,133.622,SOFT
HAD,27.0,98.893,SOFT
GAS,2.0,68.373,SOFT
GAS,3.0,99.956,SOFT
GAS,5.0,68.235,SOFT
GAS,6.0,97.946,SOFT
GAS,8.0,68.747,SOFT
GAS,9.0,92.959,SOFT
GAS,11.0,68.193,SOFT
GAS,12.0,116.887,SOFT
GAS,14.0,100.221,SOFT
GAS,15.0,92.86,SOFT
GAS,16.0,113.461,SOFT
PER,2.0,71.437,MEDIUM
PER,3.0,115.056,MEDIUM
PER,4.0,120.368,MEDIUM
PER,5.0,90.141,MEDIUM
PER,6.0,70.944,MEDIUM
PER,7.0,111.837,MEDIUM
PER,8.0,142.659,MEDIUM
PER,9.0,70.537,MEDIUM
PER,10.0,93.425,MEDIUM
PER,12.0,73.618,MEDIUM
PER,13.0,73.45,MEDIUM
PER,14.0,73.482,MEDIUM
PER,15.0,74.174,MEDIUM
PER,16.0,73.955,MEDIUM
PER,17.0,73.915,MEDIUM
PER,18.0,74.035,MEDIUM
PER,19.0,73.591,MEDIUM
PER,20.0,74.214,MEDIUM
PER,21.0,99.093,MEDIUM
PER,23.0,69.532,SOFT
PER,24.0,130.43,SOFT
PER,25.0,121.597,SOFT
PER,26.0,101.025,SOFT
PER,27.0,97.52,SOFT
PER,28.0,103.79,SOFT
PER,29.0,112.795,SOFT
ANT,2.0,67.533,SOFT
ANT,3.0,100.439,SOFT
ANT,5.0,67.134,SOFT
ANT,6.0,85.355,SOFT
ANT,8.0,67.193,SOFT
ANT,9.0,106.478,SOFT
ANT,11.0,67.606,SOFT
ANT,12.0,100.186,SOFT
ANT,13.0,121.186,SOFT
ANT,14.0,76.523,SOFT
ANT,15.0,109.13,SOFT
ANT,16.0,134.657,SOFT
ANT,17.0,86.768,SOFT
ALO,2.0,71.704,MEDIUM
ALO,3.0,103.187,MEDIUM
ALO,4.0,71.497,MEDIUM
ALO,5.0,105.0,MEDIUM
ALO,6.0,106.612,MEDIUM
ALO,7.0,72.52,MEDIUM
ALO,8.0,97.465,MEDIUM
ALO,10.0,85.649,MEDIUM
ALO,11.0,127.245,MEDIUM
ALO,12.0,71.89,MEDIUM
ALO,13.0,85.413,MEDIUM
ALO,15.0,70.421,SOFT
ALO,16.0,109.592,SOFT
ALO,17.0,131.276,SOFT
ALO,18.0,71.125,SOFT
ALO,19.0,84.866,SOFT
ALO,20.0,81.159,SOFT
ALO,21.0,126.49,SOFT
LEC,2.0,68.635,SOFT
LEC,3.0,116.791,SOFT
LEC,4.0,117.411,SOFT
LEC,5.0,80.799,SOFT
LEC,6.0,67.688,SOFT
LEC,7.0,102.397,SOFT
LEC,9.0,67.558,SOFT
LEC,10.0,108.217,SOFT
LEC,11.0,109.922,SOFT
LEC,12.0,73.32,SOFT
LEC,14.0,99.394,SOFT
LEC,15.0,104.07,SOFT
LEC,16.0,90.183,SOFT
LEC,17.0,108.759,SOFT
LEC,18.0,67.623,SOFT
LEC,19.0,106.333,SOFT
LEC,20.0,137.031,SOFT
LEC,21.0,67.452,SOFT
LEC,22.0,87.425,SOFT
LEC,24.0,106.236,SOFT
STR,2.0,72.123,MEDIUM
STR,3.0,110.19,MEDIUM
STR,4.0,71.478,MEDIUM
STR,5.0,114.875,MEDIUM
STR,6.0,71.402,MEDIUM
STR,7.0,108.105,MEDIUM
STR,9.0,71.597,MEDIUM
STR,10.0,107.589,MEDIUM
STR,11.0,94.214,MEDIUM
STR,13.0,70.704,SOFT
STR,14.0,116.744,SOFT
STR,15.0,128.922,SOFT
STR,16.0,70.567,SOFT
STR,17.0,104.05,SOFT
STR,18.0,109.528,SOFT
STR,19.0,101.347,SOFT
ALB,2.0,69.254,SOFT
ALB,3.0,132.982,SOFT
ALB,4.0,110.827,SOFT
ALB,5.0,69.325,SOFT
ALB,6.0,99.208,SOFT
ALB,8.0,71.396,SOFT
ALB,9.0,71.265,SOFT
ALB,10.0,71.156,SOFT
ALB,11.0,76.209,SOFT
ALB,12.0,71.39,SOFT
ALB,13.0,71.657,SOFT
ALB,14.0,71.665,SOFT
ALB,15.0,75.699,SOFT
ALB,16.0,121.916,SOFT
ALB,18.0,68.992,SOFT
ALB,19.0,119.523,SOFT
ALB,20.0,114.595,SOFT
ALB,21.0,69.128,SOFT
ALB,22.0,100.967,SOFT
ALB,23.0,125.352,SOFT
ALB,24.0,133.957,SOFT
ALB,25.0,85.964,SOFT
HUL,2.0,69.684,SOFT
HUL,3.0,110.212,SOFT
HUL,5.0,68.631,SOFT
HUL,6.0,111.679,SOFT
HUL,8.0,68.719,SOFT
HUL,9.0,97.087,SOFT
HUL,10.0,71.144,SOFT
HUL,11.0,70.191,SOFT
HUL,12.0,70.419,SOFT
HUL,13.0,75.089,SOFT
HUL,15.0,68.49,SOFT
HUL,16.0,107.56,SOFT
HUL,18.0,68.303,SOFT
HUL,19.0,96.396,SOFT
HUL,21.0,144.465,SOFT
HUL,22.0,84.21,SOFT
LAW,2.0,68.798,SOFT
LAW,3.0,97.534,SOFT
LAW,5.0,68.038,SOFT
LAW,6.0,74.799,SOFT
LAW,7.0,70.141,SOFT
LAW,8.0,70.408,SOFT
LAW,9.0,70.796,SOFT
LAW,10.0,73.069,SOFT
LAW,11.0,76.234,SOFT
LAW,13.0,68.031,SOFT
LAW,14.0,88.227,SOFT
LAW,16.0,68.04,SOFT
LAW,17.0,91.518,SOFT
LAW,18.0,99.915,SOFT
LAW,19.0,77.694,SOFT
LAW,20.0,117.37,SOFT
LAW,21.0,127.784,SOFT
OCO,2.0,69.853,SOFT
OCO,3.0,119.213,SOFT
OCO,5.0,69.304,SOFT
OCO,6.0,104.769,SOFT
OCO,8.0,69.489,SOFT
OCO,9.0,85.781,SOFT
OCO,11.0,68.707,SOFT
OCO,12.0,139.277,SOFT
OCO,13.0,68.84,SOFT
OCO,14.0,126.91,SOFT
OCO,15.0,108.627,SOFT
LIN,2.0,69.073,SOFT
LIN,3.0,115.939,SOFT
LIN,4.0,105.972,SOFT
LIN,5.0,68.967,SOFT
LIN,6.0,100.313,SOFT
LIN,8.0,68.877,SOFT
LIN,9.0,79.922,SOFT
LIN,10.0,71.153,SOFT
LIN,11.0,70.441,SOFT
LIN,12.0,70.618,SOFT
LIN,13.0,70.582,SOFT
LIN,14.0,74.858,SOFT
LIN,16.0,68.109,SOFT
LIN,17.0,92.424,SOFT
LIN,19.0,68.207,SOFT
LIN,20.0,81.189,SOFT
LIN,21.0,84.01,SOFT
LIN,22.0,78.772,SOFT
LIN,23.0,105.866,SOFT
LIN,24.0,114.91,SOFT
COL,2.0,69.829,SOFT
COL,3.0,95.204,SOFT
COL,4.0,112.627,SOFT
COL,6.0,69.156,SOFT
COL,7.0,102.979,SOFT
COL,9.0,69.484,SOFT
COL,10.0,91.578,SOFT
COL,12.0,68.731,SOFT
COL,13.0,121.801,SOFT
COL,15.0,68.394,SOFT
COL,16.0,103.314,SOFT
COL,17.0,135.29,SOFT
COL,18.0,79.021,SOFT
HAM,2.0,68.177,SOFT
HAM,3.0,143.506,SOFT
HAM,4.0,102.939,SOFT
HAM,5.0,89.973,SOFT
HAM,6.0,67.79,SOFT
HAM,7.0,115.385,SOFT
HAM,9.0,67.94,SOFT
HAM,10.0,84.812,SOFT
HAM,12.0,67.211,SOFT
HAM,13.0,136.24,SOFT
HAM,14.0,119.963,SOFT
HAM,15.0,96.906,SOFT
HAM,16.0,67.575,SOFT
HAM,17.0,108.032,SOFT
HAM,18.0,144.432,SOFT
HAM,19.0,68.152,SOFT
HAM,20.0,83.268,SOFT
HAM,21.0,121.07,SOFT
HAM,22.0,113.167,SOFT
SAI,2.0,69.378,SOFT
SAI,3.0,122.542,SOFT
SAI,4.0,117.92,SOFT
SAI,5.0,74.696,SOFT
SAI,6.0,118.596,SOFT
SAI,7.0,108.311,SOFT
SAI,8.0,69.312,SOFT
SAI,9.0,92.566,SOFT
SAI,11.0,71.879,SOFT
SAI,12.0,71.281,SOFT
SAI,13.0,71.543,SOFT
SAI,14.0,71.781,SOFT
SAI,15.0,76.142,SOFT
SAI,16.0,72.73,SOFT
SAI,17.0,72.323,SOFT
SAI,18.0,72.168,SOFT
SAI,19.0,81.213,SOFT
SAI,21.0,68.843,SOFT
SAI,22.0,120.892,SOFT
SAI,23.0,132.535,SOFT
SAI,24.0,94.557,SOFT
SAI,25.0,83.164,SOFT
SAI,26.0,89.232,SOFT
SAI,27.0,111.872,SOFT
RUS,2.0,68.332,SOFT
RUS,3.0,131.057,SOFT
RUS,4.0,116.316,SOFT
RUS,5.0,67.706,SOFT
RUS,6.0,139.821,SOFT
RUS,7.0,116.719,SOFT
RUS,8.0,67.55,SOFT
RUS,9.0,81.963,SOFT
RUS,11.0,67.326,SOFT
RUS,12.0,118.012,SOFT
RUS,14.0,96.575,SOFT
RUS,15.0,67.096,SOFT
RUS,16.0,81.656,SOFT
RUS,17.0,102.519,SOFT
RUS,18.0,102.016,SOFT
RUS,19.0,112.832,SOFT
BOT,2.0,71.269,SOFT
BOT,3.0,117.026,SOFT
BOT,4.0,109.308,SOFT
BOT,5.0,87.142,SOFT
BOT,6.0,101.125,SOFT
BOT,7.0,70.286,SOFT
BOT,8.0,88.699,SOFT
BOT,10.0,72.69,SOFT
BOT,11.0,72.9,SOFT
BOT,12.0,72.903,SOFT
BOT,13.0,72.767,SOFT
BOT,14.0,72.927,SOFT
BOT,15.0,72.897,SOFT
BOT,16.0,72.902,SOFT
BOT,17.0,81.312,SOFT
BOT,19.0,69.74,SOFT
BOT,20.0,101.724,SOFT
BOT,21.0,93.404,SOFT
BOT,22.0,69.744,SOFT
BOT,23.0,105.901,SOFT
BOT,24.0,112.398,SOFT
PIA,2.0,67.881,SOFT
PIA,3.0,104.15,SOFT
PIA,5.0,67.671,SOFT
PIA,6.0,99.27,SOFT
PIA,7.0,117.973,SOFT
PIA,8.0,74.751,SOFT
PIA,10.0,67.553,SOFT
PIA,11.0,102.913,SOFT
PIA,12.0,123.367,SOFT
PIA,13.0,67.344,SOFT
PIA,14.0,93.16,SOFT
PIA,16.0,113.373,SOFT
PIA,17.0,115.466,SOFT
BEA,2.0,110.584,SOFT
BEA,3.0,69.175,SOFT
BEA,6.0,68.788,SOFT
BEA,7.0,144.52,SOFT
BEA,9.0,93.497,SOFT
BEA,10.0,69.15,SOFT
BEA,11.0,80.72,SOFT
BEA,13.0,68.529,SOFT
BEA,16.0,78.315,SOFT
BEA,17.0,113.305,SOFT
BEA,18.0,104.531,SOFT
BEA,19.0,106.743,SOFT
