Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-27 10:15:52,Other,RISK OF RAIN FOR F1 FREE PRACTICE 3 IS 0%,,,,,,
2026-06-27 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-27 10:38:29,Other,CAR 11 (PER) TIME 1:30.141 DELETED - TRACK LIMITS AT TURN 1 LAP 6 12:36:47,,,,,,
2026-06-27 10:47:32,Other,CAR 77 (BOT) TIME 1:11.269 DELETED - TRACK LIMITS AT TURN 9 LAP 3 12:46:27,,,,,,
2026-06-27 10:55:12,Other,CAR 55 (SAI) TIME 1:14.696 DELETED - TRACK LIMITS AT TURN 9 LAP 6 12:53:28,,,,,,
2026-06-27 10:56:31,Flag,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - DRIVING UNNECESSARILY SLOWLY (12:53:38),,BLACK AND WHITE,Driver,,55,
2026-06-27 10:59:42,Other,CAR 1 (NOR) TIME 1:22.399 DELETED - TRACK LIMITS AT TURN 3 LAP 6 12:58:35,,,,,,
2026-06-27 11:05:46,Other,CAR 5 (BOR) TIME 1:10.348 DELETED - TRACK LIMITS AT TURN 3 LAP 9 13:04:44,,,,,,
2026-06-27 11:11:40,Other,CAR 55 (SAI) TIME 1:16.142 DELETED - TRACK LIMITS AT TURN 1 LAP 16 13:10:09,,,,,,
2026-06-27 11:11:51,Other,CAR 55 (SAI) TIME 1:16.142 DELETED - TRACK LIMITS AT TURN 9 LAP 16 13:11:08,,,,,,
2026-06-27 11:17:20,Other,CAR 27 (HUL) TIME 1:08.490 DELETED - TRACK LIMITS AT TURN 9 LAP 16 13:16:37,,,,,,
2026-06-27 11:18:16,Other,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 15 13:16:57 (PIT),,,,,,
2026-06-27 11:20:13,Other,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 19 13:18:41 (PIT),,,,,,
2026-06-27 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-27 11:30:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 11 (PER),,,,,,
2026-06-27 11:31:11,Other,CAR 11 (PER) TIME 1:37.520 DELETED - TRACK LIMITS AT TURN 3 LAP 28 13:29:00,,,,,,
2026-06-27 11:31:14,Other,CAR 10 (GAS) TIME 1:40.221 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:29:05,,,,,,
2026-06-27 11:35:53,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2026-06-27 11:35:58,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2026-06-27 11:36:02,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
