Driver,LapNumber,LapTime,Compound
RUS,2.0,67.811,SOFT
RUS,3.0,107.18,SOFT
RUS,5.0,67.591,SOFT
RUS,6.0,132.819,SOFT
RUS,8.0,67.398,SOFT
RUS,9.0,89.739,SOFT
RUS,11.0,83.25,SOFT
RUS,13.0,66.979,SOFT
RUS,14.0,90.001,SOFT
RUS,16.0,66.457,SOFT
RUS,17.0,86.725,SOFT
RUS,19.0,66.113,SOFT
LEC,2.0,67.543,SOFT
LEC,3.0,97.904,SOFT
LEC,5.0,67.03,SOFT
LEC,6.0,91.765,SOFT
LEC,8.0,67.303,SOFT
LEC,9.0,86.242,SOFT
LEC,11.0,66.756,SOFT
LEC,12.0,88.261,SOFT
LEC,14.0,66.349,SOFT
HAM,2.0,67.29,SOFT
HAM,3.0,97.275,SOFT
HAM,5.0,67.039,SOFT
HAM,6.0,95.999,SOFT
HAM,8.0,66.994,SOFT
HAM,9.0,83.879,SOFT
HAM,11.0,84.692,SOFT
HAM,13.0,66.408,SOFT
ANT,2.0,67.083,SOFT
ANT,3.0,128.234,SOFT
ANT,5.0,76.35,SOFT
ANT,7.0,66.763,SOFT
ANT,8.0,94.203,SOFT
ANT,10.0,66.965,SOFT
ANT,13.0,66.414,SOFT
ANT,14.0,89.414,SOFT
ANT,16.0,68.215,SOFT
VER,2.0,67.407,SOFT
VER,3.0,129.052,SOFT
VER,5.0,67.183,SOFT
VER,6.0,90.837,SOFT
VER,8.0,66.475,SOFT
VER,9.0,80.208,SOFT
NOR,2.0,67.259,SOFT
NOR,3.0,95.259,SOFT
NOR,5.0,67.321,SOFT
NOR,6.0,87.323,SOFT
NOR,8.0,66.897,SOFT
NOR,9.0,87.397,SOFT
NOR,11.0,66.9,SOFT
NOR,12.0,88.23,SOFT
NOR,14.0,66.502,SOFT
PIA,2.0,67.487,SOFT
PIA,3.0,98.523,SOFT
PIA,5.0,116.248,SOFT
PIA,7.0,66.89,SOFT
PIA,8.0,91.551,SOFT
PIA,10.0,66.685,SOFT
