Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-27 13:47:01,Other,RISK OF RAIN FOR F1 QUALIFYING IS 0%,,,,,,
2026-06-27 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-27 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-27 14:18:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 5 (BOR),,,,,,
2026-06-27 14:20:23,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2026-06-27 14:21:47,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2026-06-27 14:21:50,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO), 63 (RUS), 41 (LIN), 30 (LAW), 6 (HAD), 5 (BOR), 27 (HUL), 11 (PER), 43 (COL) AND 87 (BEA) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-27 14:22:13,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO), 63 (RUS), 41 (LIN), 30 (LAW), 6 (HAD), 5 (BOR), 27 (HUL), 11 (PER), 43 (COL) AND 87 (BEA) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-27 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-27 14:37:46,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 7 16:31:44 (PIT),,,,,,
2026-06-27 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-06-27 14:40:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
2026-06-27 14:40:46,Other,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 12 16:39:18 (PIT),,,,,,
2026-06-27 14:42:23,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 10 (GAS), 43 (COL), 12 (ANT) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-27 14:42:33,Other,"FIA STEWARDS: Q2 INCIDENT INVOLVING CARS 10 (GAS), 43 (COL), 12 (ANT) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-06-27 14:47:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-27 14:51:35,Other,INCIDENT INVOLVING CAR 41 (LIN) NOTED - UNSAFE RELEASE (16:50:09),,,,,,
