Driver,LapNumber,LapTime,Compound
NOR,2.0,93.212,HARD
NOR,4.0,106.833,HARD
NOR,5.0,92.179,HARD
NOR,6.0,132.965,HARD
NOR,7.0,91.595,HARD
NOR,8.0,125.918,HARD
NOR,9.0,93.026,HARD
NOR,11.0,91.575,HARD
NOR,12.0,102.087,HARD
NOR,13.0,94.02,HARD
NOR,14.0,92.289,HARD
NOR,15.0,94.517,HARD
NOR,16.0,93.92,HARD
NOR,17.0,94.028,HARD
NOR,18.0,93.069,HARD
NOR,20.0,90.288,SOFT
NOR,21.0,136.339,SOFT
NOR,22.0,142.737,SOFT
NOR,23.0,90.676,SOFT
NOR,24.0,123.585,SOFT
NOR,25.0,125.534,SOFT
NOR,27.0,125.887,SOFT
VER,2.0,92.653,HARD
VER,3.0,145.112,HARD
VER,4.0,91.277,HARD
VER,6.0,116.106,HARD
VER,7.0,92.646,HARD
VER,8.0,99.867,HARD
VER,10.0,93.039,HARD
VER,11.0,94.128,HARD
VER,12.0,93.633,HARD
VER,13.0,94.132,HARD
VER,14.0,94.429,HARD
VER,15.0,94.852,HARD
VER,16.0,95.093,HARD
VER,17.0,94.35,HARD
VER,18.0,94.876,HARD
VER,19.0,101.985,HARD
VER,21.0,90.24,SOFT
VER,23.0,115.529,SOFT
VER,24.0,90.268,SOFT
VER,25.0,143.733,SOFT
VER,27.0,137.879,SOFT
BOR,2.0,94.93,HARD
BOR,3.0,143.114,HARD
BOR,4.0,93.545,HARD
BOR,5.0,144.275,HARD
BOR,6.0,92.355,HARD
BOR,8.0,92.016,HARD
BOR,9.0,139.252,HARD
BOR,10.0,91.813,HARD
BOR,11.0,105.523,HARD
BOR,13.0,93.607,HARD
BOR,14.0,141.355,HARD
BOR,15.0,92.621,HARD
BOR,16.0,100.678,HARD
BOR,17.0,94.509,HARD
BOR,18.0,94.4,HARD
BOR,19.0,94.441,HARD
BOR,20.0,93.988,HARD
BOR,22.0,91.035,MEDIUM
BOR,23.0,118.775,MEDIUM
BOR,24.0,135.959,MEDIUM
BOR,25.0,92.267,MEDIUM
BOR,26.0,136.104,MEDIUM
BOR,28.0,136.679,MEDIUM
HAD,2.0,93.177,HARD
HAD,4.0,91.697,HARD
HAD,6.0,90.969,HARD
HAD,7.0,121.266,HARD
HAD,9.0,94.234,HARD
HAD,10.0,93.708,HARD
HAD,11.0,94.165,HARD
HAD,12.0,102.116,HARD
HAD,13.0,93.492,HARD
