Driver,LapNumber,LapTime,Compound
HAM,2.0,89.582,MEDIUM
HAM,3.0,126.281,MEDIUM
HAM,4.0,89.273,MEDIUM
HAM,5.0,122.807,MEDIUM
HAM,6.0,112.084,MEDIUM
HAM,8.0,88.747,MEDIUM
HAM,9.0,124.342,MEDIUM
HAM,10.0,123.43,MEDIUM
HAM,11.0,96.963,MEDIUM
HAM,13.0,88.376,SOFT
ANT,2.0,89.818,MEDIUM
ANT,3.0,121.043,MEDIUM
ANT,5.0,89.746,MEDIUM
ANT,6.0,120.839,MEDIUM
ANT,8.0,88.846,MEDIUM
ANT,9.0,124.761,MEDIUM
ANT,11.0,89.391,MEDIUM
ANT,12.0,114.088,MEDIUM
ANT,14.0,88.387,SOFT
LEC,2.0,89.793,MEDIUM
LEC,3.0,122.816,MEDIUM
LEC,4.0,89.38,MEDIUM
LEC,5.0,118.238,MEDIUM
LEC,7.0,88.922,MEDIUM
LEC,8.0,124.11,MEDIUM
LEC,9.0,124.843,MEDIUM
LEC,10.0,88.967,MEDIUM
LEC,11.0,117.408,MEDIUM
LEC,13.0,88.703,SOFT
RUS,2.0,90.152,MEDIUM
RUS,3.0,127.562,MEDIUM
RUS,5.0,89.675,MEDIUM
RUS,6.0,116.797,MEDIUM
RUS,8.0,89.474,MEDIUM
RUS,9.0,128.332,MEDIUM
RUS,10.0,119.068,MEDIUM
RUS,11.0,89.246,MEDIUM
RUS,12.0,111.854,MEDIUM
RUS,14.0,88.733,SOFT
PIA,2.0,89.583,MEDIUM
PIA,3.0,117.17,MEDIUM
PIA,5.0,89.12,MEDIUM
PIA,6.0,121.497,MEDIUM
PIA,7.0,119.51,MEDIUM
PIA,8.0,89.651,MEDIUM
PIA,9.0,107.573,MEDIUM
PIA,11.0,88.772,SOFT
VER,2.0,89.954,MEDIUM
VER,3.0,130.687,MEDIUM
VER,4.0,131.523,MEDIUM
VER,5.0,89.689,MEDIUM
VER,6.0,108.005,MEDIUM
VER,8.0,89.242,MEDIUM
VER,9.0,116.22,MEDIUM
VER,11.0,88.697,SOFT
NOR,2.0,90.142,MEDIUM
NOR,3.0,117.165,MEDIUM
NOR,5.0,90.234,MEDIUM
NOR,6.0,111.559,MEDIUM
NOR,8.0,89.401,MEDIUM
NOR,9.0,118.812,MEDIUM
NOR,10.0,149.326,MEDIUM
NOR,11.0,89.649,MEDIUM
NOR,12.0,102.722,MEDIUM
NOR,14.0,88.74,SOFT
HAD,2.0,89.47,MEDIUM
HAD,3.0,128.001,MEDIUM
HAD,5.0,105.993,MEDIUM
HAD,7.0,89.28,MEDIUM
HAD,8.0,134.604,MEDIUM
HAD,9.0,124.009,MEDIUM
HAD,10.0,89.383,MEDIUM
HAD,11.0,109.571,MEDIUM
HAD,13.0,88.835,SOFT
HUL,2.0,90.704,MEDIUM
HUL,3.0,120.094,MEDIUM
HUL,5.0,90.107,MEDIUM
HUL,6.0,108.753,MEDIUM
HUL,8.0,89.729,MEDIUM
HUL,9.0,117.799,MEDIUM
HUL,11.0,89.707,MEDIUM
HUL,12.0,113.78,MEDIUM
LAW,2.0,89.99,MEDIUM
LAW,3.0,122.999,MEDIUM
LAW,4.0,118.547,MEDIUM
LAW,5.0,89.85,MEDIUM
LAW,6.0,119.993,MEDIUM
LAW,8.0,89.067,MEDIUM
LAW,9.0,117.921,MEDIUM
LAW,11.0,88.927,SOFT
COL,2.0,91.017,MEDIUM
COL,3.0,141.005,MEDIUM
COL,4.0,136.028,MEDIUM
COL,5.0,90.894,MEDIUM
COL,6.0,121.231,MEDIUM
COL,8.0,89.983,MEDIUM
COL,9.0,124.254,MEDIUM
BOR,2.0,90.56,MEDIUM
BOR,3.0,119.82,MEDIUM
BOR,5.0,90.407,MEDIUM
BOR,6.0,116.998,MEDIUM
BOR,8.0,89.679,MEDIUM
BOR,9.0,118.774,MEDIUM
BOR,11.0,90.199,MEDIUM
BOR,12.0,120.148,MEDIUM
LIN,2.0,90.526,MEDIUM
LIN,3.0,142.948,MEDIUM
LIN,4.0,137.615,MEDIUM
LIN,5.0,90.453,MEDIUM
LIN,6.0,106.961,MEDIUM
LIN,8.0,89.33,MEDIUM
LIN,9.0,128.276,MEDIUM
LIN,11.0,89.367,SOFT
BEA,2.0,91.416,MEDIUM
BEA,3.0,122.918,MEDIUM
BEA,5.0,91.083,MEDIUM
BEA,6.0,120.191,MEDIUM
SAI,2.0,106.413,MEDIUM
SAI,3.0,91.112,MEDIUM
SAI,4.0,120.227,MEDIUM
SAI,5.0,122.973,MEDIUM
SAI,6.0,91.073,MEDIUM
SAI,7.0,117.376,MEDIUM
SAI,9.0,90.197,MEDIUM
SAI,10.0,104.262,MEDIUM
