Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-07-03 15:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-07-03 15:39:04,Other,CAR 18 (STR) TIME 1:33.438 DELETED - TRACK LIMITS AT TURN 3 LAP 3 16:37:24,,,,,,
2026-07-03 15:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-07-03 15:42:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 41 (LIN),,,,,,
2026-07-03 15:44:25,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2026-07-03 15:45:17,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2026-07-03 15:47:26,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 63 (RUS), 41 (LIN), 10 (GAS), 43 (COL), 23 (ALB), 6 (HAD), 14 (ALO), 18 (STR), 1 (NOR) AND 55 (SAI) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 15:47:35,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 63 (RUS), 41 (LIN), 10 (GAS), 43 (COL), 23 (ALB), 6 (HAD), 14 (ALO), 18 (STR), 1 (NOR) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 15:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-07-03 15:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-07-03 15:59:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2026-07-03 16:01:38,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2026-07-03 16:02:20,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 12 (ANT), 27 (HUL) AND 41 (LIN) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 16:02:36,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 12 (ANT), 27 (HUL) AND 41 (LIN) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 16:03:39,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2026-07-03 16:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-07-03 16:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-07-03 16:14:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2026-07-03 16:18:24,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 63 (RUS), 10 (GAS), 43 (COL), 6 (HAD), 14 (ALO), 18 (STR), 1 (NOR) AND 55 (SAI) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 16:18:31,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2026-07-03 16:18:35,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 12 (ANT), 27 (HUL) AND 41 (LIN) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-07-03 16:18:42,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-07-03 16:18:53,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2026-07-03 16:19:38,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2026-07-03 16:19:39,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-07-03 16:19:47,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2026-07-03 16:19:57,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,
2026-07-03 16:20:00,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2026-07-03 16:20:16,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2026-07-03 16:20:23,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2026-07-03 16:21:06,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-07-03 16:21:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,
2026-07-03 16:21:12,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2026-07-03 16:21:15,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2026-07-03 16:21:17,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-07-03 16:21:20,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2026-07-03 16:22:49,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-07-03 16:22:54,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2026-07-03 16:25:15,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2026-07-03 16:25:41,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
