Driver,LapNumber,GapTime
ANT,0.667,1.5150000000000001
HAM,0.667,0.0
NOR,0.667,1.234
RUS,0.667,2.312
LEC,0.667,3.297
VER,0.667,2.875
PIA,0.667,2.0
LAW,0.667,4.781
HAD,0.667,5.703
LIN,0.667,5.343
GAS,0.667,4.187
COL,0.667,5.093
BOR,0.667,7.844
BEA,0.667,5.875
HUL,0.667,6.593
OCO,0.667,6.984
SAI,0.667,7.437
ALB,0.667,11.765
BOT,0.667,9.921
ALO,0.667,8.25
STR,0.667,9.062
PER,0.667,9.203
ANT,1.000,0.841
HAM,1.000,0.0
NOR,1.000,2.083
RUS,1.000,1.7570000000000001
LEC,1.000,3.1390000000000002
VER,1.000,2.891
PIA,1.000,2.716
LAW,1.000,4.9
HAD,1.000,7.141
LIN,1.000,5.819
GAS,1.000,4.373
COL,1.000,6.235
BOR,1.000,8.844
BEA,1.000,6.75
HUL,1.000,7.641
OCO,1.000,7.906
SAI,1.000,9.438
ALB,1.000,12.368
BOT,1.000,11.078
ALO,1.000,9.61
STR,1.000,10.5
PER,1.000,9.875
ANT,1.333,0.789
HAM,1.333,0.0
NOR,1.333,2.295
RUS,1.333,2.251
LEC,1.333,3.5540000000000003
VER,1.333,3.129
PIA,1.333,3.593
LAW,1.333,5.776
HAD,1.333,8.289
LIN,1.333,6.283
GAS,1.333,4.828
COL,1.333,7.503
BOR,1.333,9.659
BEA,1.333,7.976
HUL,1.333,9.034
OCO,1.333,9.194
SAI,1.333,10.297
ALB,1.333,12.7
BOT,1.333,12.262
ALO,1.333,16.924
STR,1.333,11.773
PER,1.333,11.625
ANT,1.667,1.218
HAM,1.667,0.0
NOR,1.667,3.507
RUS,1.667,3.851
LEC,1.667,5.337
VER,1.667,4.263
PIA,1.667,5.001
LAW,1.667,7.538
HAD,1.667,10.269
LIN,1.667,8.254
GAS,1.667,6.89
COL,1.667,9.189
BOR,1.667,12.189
BEA,1.667,9.759
HUL,1.667,11.414
OCO,1.667,12.022
SAI,1.667,13.172
ALB,1.667,15.93
BOT,1.667,15.599
ALO,1.667,19.817
STR,1.667,16.87
PER,1.667,15.03
ANT,2.000,1.319
HAM,2.000,0.0
NOR,2.000,4.101
RUS,2.000,4.501
LEC,2.000,5.711
VER,2.000,4.6899999999999995
PIA,2.000,5.389
LAW,2.000,8.304
HAD,2.000,10.88
LIN,2.000,8.873
GAS,2.000,7.808
COL,2.000,10.108
BOR,2.000,13.259
BEA,2.000,10.553
HUL,2.000,12.407
OCO,2.000,12.999
SAI,2.000,14.301
ALB,2.000,17.846
BOT,2.000,17.315
ALO,2.000,20.803
STR,2.000,18.475
PER,2.000,19.443
ANT,2.333,0.811
HAM,2.333,0.0
NOR,2.333,4.437
RUS,2.333,4.596
LEC,2.333,5.611
VER,2.333,4.513
PIA,2.333,5.275
LAW,2.333,8.026
HAD,2.333,10.718
LIN,2.333,8.629
GAS,2.333,7.74
COL,2.333,10.067
BOR,2.333,13.719
BEA,2.333,10.791
HUL,2.333,12.815
OCO,2.333,13.692
SAI,2.333,14.207
ALB,2.333,17.738
BOT,2.333,17.728
ALO,2.333,21.599
STR,2.333,19.312
PER,2.333,61.032
ANT,2.667,0.904
HAM,2.667,0.0
NOR,2.667,4.896
RUS,2.667,6.604
LEC,2.667,7.067
VER,2.667,5.483
PIA,2.667,6.257
LAW,2.667,9.708
HAD,2.667,12.017
LIN,2.667,10.412
GAS,2.667,9.141
COL,2.667,11.475999999999999
BOR,2.667,15.668
BEA,2.667,13.008
HUL,2.667,14.623
OCO,2.667,15.45
SAI,2.667,16.531
ALB,2.667,19.662
BOT,2.667,20.725
ALO,2.667,23.969
STR,2.667,22.245
PER,2.667,63.424
ANT,3.000,1.105
HAM,3.000,0.0
NOR,3.000,5.261
RUS,3.000,6.8629999999999995
LEC,3.000,7.702
VER,3.000,5.886
PIA,3.000,7.242
LAW,3.000,10.453
HAD,3.000,12.663
LIN,3.000,11.037
GAS,3.000,9.913
COL,3.000,12.317
BOR,3.000,16.775
BEA,3.000,14.073
HUL,3.000,15.632
OCO,3.000,16.455
SAI,3.000,17.618
ALB,3.000,20.624
BOT,3.000,22.387
ALO,3.000,25.155
STR,3.000,23.625
PER,3.000,64.788
ANT,3.333,0.698
HAM,3.333,0.0
NOR,3.333,5.146
RUS,3.333,7.378
LEC,3.333,7.697
VER,3.333,5.588
PIA,3.333,7.704
LAW,3.333,10.392
HAD,3.333,12.708
LIN,3.333,10.848
GAS,3.333,10.104
COL,3.333,12.471
BOR,3.333,17.262
BEA,3.333,14.353
HUL,3.333,16.008
OCO,3.333,16.378
SAI,3.333,17.674
ALB,3.333,20.693
BOT,3.333,23.16
ALO,3.333,26.234
STR,3.333,24.847
PER,3.333,65.091
ANT,3.667,1.06
HAM,3.667,0.0
NOR,3.667,5.687
RUS,3.667,7.888
LEC,3.667,8.538
VER,3.667,6.312
PIA,3.667,9.347
LAW,3.667,12.065
HAD,3.667,14.116
LIN,3.667,12.633
GAS,3.667,11.677
COL,3.667,13.624
BOR,3.667,18.831
