Driver,LapNumber,LapTime,Compound
ANT,2.0,92.381,MEDIUM
ANT,3.0,92.33,MEDIUM
ANT,4.0,91.97,MEDIUM
ANT,5.0,91.975,MEDIUM
ANT,6.0,92.104,MEDIUM
ANT,7.0,92.45,MEDIUM
ANT,8.0,92.449,MEDIUM
ANT,9.0,92.463,MEDIUM
ANT,10.0,92.444,MEDIUM
ANT,11.0,92.083,MEDIUM
ANT,12.0,92.283,MEDIUM
ANT,13.0,92.574,MEDIUM
ANT,14.0,92.346,MEDIUM
ANT,15.0,92.068,MEDIUM
ANT,16.0,92.047,MEDIUM
ANT,17.0,91.607,MEDIUM
HAM,2.0,92.115,MEDIUM
HAM,3.0,92.544,MEDIUM
HAM,4.0,92.219,MEDIUM
HAM,5.0,91.908,MEDIUM
HAM,6.0,92.309,MEDIUM
HAM,7.0,92.59,MEDIUM
HAM,8.0,93.917,MEDIUM
HAM,9.0,92.387,MEDIUM
HAM,10.0,92.485,MEDIUM
HAM,11.0,92.45,MEDIUM
HAM,12.0,92.741,MEDIUM
HAM,13.0,92.325,MEDIUM
HAM,14.0,92.418,MEDIUM
HAM,15.0,92.544,MEDIUM
HAM,16.0,92.392,MEDIUM
HAM,17.0,92.046,MEDIUM
NOR,2.0,93.949,MEDIUM
NOR,3.0,93.704,MEDIUM
NOR,4.0,92.858,MEDIUM
NOR,5.0,92.406,MEDIUM
NOR,6.0,92.499,MEDIUM
NOR,7.0,92.233,MEDIUM
NOR,8.0,92.562,MEDIUM
NOR,9.0,92.663,MEDIUM
NOR,10.0,92.946,MEDIUM
NOR,11.0,92.563,MEDIUM
NOR,12.0,92.472,MEDIUM
NOR,13.0,92.877,MEDIUM
NOR,14.0,92.894,MEDIUM
NOR,15.0,93.025,MEDIUM
NOR,16.0,92.303,MEDIUM
NOR,17.0,92.19,MEDIUM
RUS,2.0,94.618,MEDIUM
RUS,3.0,94.906,MEDIUM
RUS,4.0,93.247,MEDIUM
RUS,5.0,92.507,MEDIUM
RUS,6.0,92.433,MEDIUM
RUS,7.0,92.149,MEDIUM
RUS,8.0,93.344,MEDIUM
RUS,9.0,92.488,MEDIUM
RUS,10.0,93.402,MEDIUM
RUS,11.0,92.456,MEDIUM
RUS,12.0,92.42,MEDIUM
RUS,13.0,92.441,MEDIUM
RUS,14.0,92.295,MEDIUM
RUS,15.0,92.393,MEDIUM
RUS,16.0,92.218,MEDIUM
RUS,17.0,91.977,MEDIUM
LEC,2.0,94.376,MEDIUM
LEC,3.0,94.535,MEDIUM
LEC,4.0,93.244,MEDIUM
LEC,5.0,92.598,MEDIUM
LEC,6.0,92.642,MEDIUM
LEC,7.0,92.52,MEDIUM
LEC,8.0,92.604,MEDIUM
LEC,9.0,92.8,MEDIUM
LEC,10.0,93.09,MEDIUM
LEC,11.0,92.67,MEDIUM
LEC,12.0,92.538,MEDIUM
LEC,13.0,92.333,MEDIUM
LEC,14.0,92.589,MEDIUM
LEC,15.0,92.592,MEDIUM
LEC,16.0,92.489,MEDIUM
LEC,17.0,92.158,MEDIUM
VER,2.0,93.679,MEDIUM
VER,3.0,93.74,MEDIUM
VER,4.0,92.973,MEDIUM
VER,5.0,92.688,MEDIUM
VER,6.0,92.489,MEDIUM
VER,7.0,92.393,MEDIUM
VER,8.0,93.644,MEDIUM
VER,9.0,93.504,MEDIUM
VER,10.0,94.051,MEDIUM
VER,11.0,93.292,MEDIUM
VER,12.0,92.762,MEDIUM
VER,13.0,93.123,MEDIUM
VER,14.0,93.023,MEDIUM
VER,15.0,93.289,MEDIUM
VER,16.0,92.981,MEDIUM
VER,17.0,92.414,MEDIUM
PIA,2.0,94.619,MEDIUM
PIA,3.0,94.397,MEDIUM
PIA,4.0,94.68,MEDIUM
PIA,5.0,92.812,MEDIUM
PIA,6.0,92.954,MEDIUM
PIA,7.0,92.572,MEDIUM
PIA,8.0,92.434,MEDIUM
PIA,9.0,92.919,MEDIUM
PIA,10.0,93.107,MEDIUM
PIA,11.0,93.641,MEDIUM
PIA,12.0,93.464,MEDIUM
PIA,13.0,92.707,MEDIUM
PIA,14.0,92.877,MEDIUM
PIA,15.0,93.142,MEDIUM
PIA,16.0,92.74,MEDIUM
PIA,17.0,92.223,MEDIUM
LAW,2.0,95.208,MEDIUM
LAW,3.0,94.693,MEDIUM
LAW,4.0,93.58,MEDIUM
LAW,5.0,94.134,MEDIUM
LAW,6.0,93.828,MEDIUM
LAW,7.0,93.668,MEDIUM
LAW,8.0,93.369,MEDIUM
LAW,9.0,93.737,MEDIUM
LAW,10.0,93.531,MEDIUM
LAW,11.0,93.655,MEDIUM
LAW,12.0,93.754,MEDIUM
LAW,13.0,93.775,MEDIUM
LAW,14.0,93.952,MEDIUM
LAW,15.0,94.235,MEDIUM
LAW,16.0,93.051,MEDIUM
LAW,17.0,93.453,MEDIUM
HAD,2.0,95.742,MEDIUM
HAD,3.0,94.327,MEDIUM
HAD,4.0,94.287,MEDIUM
HAD,5.0,94.281,MEDIUM
HAD,6.0,93.466,MEDIUM
HAD,7.0,93.539,MEDIUM
HAD,8.0,93.463,MEDIUM
HAD,9.0,93.0,MEDIUM
HAD,10.0,93.547,MEDIUM
HAD,11.0,93.415,MEDIUM
HAD,12.0,93.47,MEDIUM
HAD,13.0,93.464,MEDIUM
HAD,14.0,93.604,MEDIUM
HAD,15.0,93.93,MEDIUM
HAD,16.0,93.445,MEDIUM
HAD,17.0,93.31,MEDIUM
LIN,2.0,94.878,MEDIUM
LIN,3.0,94.708,MEDIUM
LIN,4.0,94.282,MEDIUM
LIN,5.0,94.075,MEDIUM
LIN,6.0,94.102,MEDIUM
LIN,7.0,93.807,MEDIUM
LIN,8.0,93.572,MEDIUM
LIN,9.0,94.717,MEDIUM
LIN,10.0,93.977,MEDIUM
LIN,11.0,93.721,MEDIUM
LIN,12.0,93.923,MEDIUM
LIN,13.0,93.859,MEDIUM
LIN,14.0,94.011,MEDIUM
LIN,15.0,94.268,MEDIUM
LIN,16.0,93.848,MEDIUM
LIN,17.0,93.903,MEDIUM
GAS,2.0,95.269,MEDIUM
GAS,3.0,94.649,MEDIUM
GAS,4.0,94.938,MEDIUM
GAS,5.0,95.289,MEDIUM
GAS,6.0,94.173,MEDIUM
GAS,7.0,94.869,MEDIUM
GAS,8.0,93.942,MEDIUM
GAS,9.0,94.52,MEDIUM
GAS,10.0,94.443,MEDIUM
GAS,11.0,94.388,MEDIUM
GAS,12.0,94.355,MEDIUM
GAS,13.0,94.204,MEDIUM
GAS,14.0,94.587,MEDIUM
GAS,15.0,94.554,MEDIUM
GAS,16.0,94.202,MEDIUM
GAS,17.0,93.88,MEDIUM
COL,2.0,95.709,MEDIUM
COL,3.0,94.753,MEDIUM
COL,4.0,94.229,MEDIUM
COL,5.0,94.547,MEDIUM
COL,6.0,95.504,MEDIUM
COL,7.0,94.485,MEDIUM
COL,8.0,94.14,MEDIUM
COL,9.0,93.898,MEDIUM
COL,10.0,94.216,MEDIUM
COL,11.0,94.209,MEDIUM
COL,12.0,94.729,MEDIUM
COL,13.0,94.304,MEDIUM
COL,14.0,94.369,MEDIUM
COL,15.0,94.586,MEDIUM
COL,16.0,93.955,MEDIUM
COL,17.0,93.52,MEDIUM
BOR,2.0,96.219,MEDIUM
BOR,3.0,96.06,MEDIUM
BOR,4.0,94.989,MEDIUM
BOR,5.0,94.661,MEDIUM
BOR,6.0,93.528,MEDIUM
BOR,7.0,94.295,MEDIUM
BOR,8.0,93.904,MEDIUM
BOR,9.0,94.102,MEDIUM
BOR,10.0,94.299,MEDIUM
BOR,11.0,93.722,MEDIUM
BOR,12.0,94.275,MEDIUM
BOR,13.0,94.226,MEDIUM
BOR,14.0,93.868,MEDIUM
BOR,15.0,94.027,MEDIUM
BOR,16.0,94.231,MEDIUM
BOR,17.0,93.506,MEDIUM
BEA,2.0,95.607,MEDIUM
BEA,3.0,96.064,MEDIUM
BEA,4.0,94.481,MEDIUM
BEA,5.0,94.355,MEDIUM
BEA,6.0,94.461,MEDIUM
BEA,7.0,94.44,MEDIUM
BEA,8.0,94.388,MEDIUM
BEA,9.0,94.821,MEDIUM
BEA,10.0,95.216,MEDIUM
BEA,11.0,94.969,MEDIUM
BEA,12.0,94.451,MEDIUM
BEA,13.0,94.685,MEDIUM
BEA,14.0,94.757,MEDIUM
BEA,15.0,94.746,MEDIUM
BEA,16.0,94.33,MEDIUM
BEA,17.0,93.574,MEDIUM
HUL,2.0,96.654,MEDIUM
HUL,3.0,95.769,MEDIUM
HUL,4.0,94.875,MEDIUM
HUL,5.0,94.211,MEDIUM
HUL,6.0,94.104,MEDIUM
HUL,7.0,93.866,MEDIUM
HUL,8.0,93.964,MEDIUM
HUL,9.0,93.666,MEDIUM
HUL,10.0,94.87,MEDIUM
HUL,11.0,94.294,MEDIUM
HUL,12.0,93.988,MEDIUM
HUL,13.0,94.0,MEDIUM
HUL,14.0,94.014,MEDIUM
HUL,15.0,94.735,MEDIUM
HUL,16.0,93.925,MEDIUM
HUL,17.0,93.497,MEDIUM
OCO,2.0,96.983,MEDIUM
OCO,3.0,96.0,MEDIUM
OCO,4.0,95.014,MEDIUM
OCO,5.0,94.639,MEDIUM
OCO,6.0,94.692,MEDIUM
OCO,7.0,94.442,MEDIUM
OCO,8.0,94.602,MEDIUM
OCO,9.0,94.399,MEDIUM
OCO,10.0,95.178,MEDIUM
OCO,11.0,94.673,MEDIUM
OCO,12.0,94.593,MEDIUM
OCO,13.0,94.703,MEDIUM
OCO,14.0,94.716,MEDIUM
OCO,15.0,94.73,MEDIUM
OCO,16.0,94.49,MEDIUM
OCO,17.0,94.465,MEDIUM
SAI,2.0,96.776,MEDIUM
SAI,3.0,95.861,MEDIUM
SAI,4.0,95.338,MEDIUM
SAI,5.0,94.571,MEDIUM
SAI,6.0,94.521,MEDIUM
SAI,7.0,94.406,MEDIUM
SAI,8.0,94.789,MEDIUM
SAI,9.0,94.252,MEDIUM
SAI,10.0,94.756,MEDIUM
SAI,11.0,94.752,MEDIUM
SAI,12.0,94.638,MEDIUM
SAI,13.0,94.461,MEDIUM
SAI,14.0,94.815,MEDIUM
SAI,15.0,95.0,MEDIUM
SAI,16.0,94.274,MEDIUM
SAI,17.0,94.186,MEDIUM
ALB,2.0,97.392,MEDIUM
ALB,3.0,95.322,MEDIUM
ALB,4.0,94.576,MEDIUM
ALB,5.0,94.428,MEDIUM
ALB,6.0,94.656,MEDIUM
ALB,7.0,94.373,MEDIUM
ALB,8.0,94.427,MEDIUM
ALB,9.0,94.3,MEDIUM
ALB,10.0,94.604,MEDIUM
ALB,11.0,94.377,MEDIUM
ALB,12.0,94.407,MEDIUM
ALB,13.0,94.308,MEDIUM
ALB,14.0,94.709,MEDIUM
ALB,15.0,94.79,MEDIUM
ALB,16.0,94.108,MEDIUM
ALB,17.0,93.989,MEDIUM
BOT,2.0,98.161,SOFT
BOT,3.0,97.616,SOFT
BOT,4.0,96.949,SOFT
BOT,5.0,95.77,SOFT
BOT,6.0,95.677,SOFT
BOT,7.0,95.593,SOFT
BOT,8.0,95.504,SOFT
BOT,9.0,95.647,SOFT
BOT,10.0,96.039,SOFT
BOT,11.0,96.703,SOFT
BOT,12.0,96.337,SOFT
BOT,13.0,96.275,SOFT
BOT,14.0,96.22,SOFT
BOT,15.0,96.453,SOFT
BOT,16.0,96.156,SOFT
BOT,17.0,95.371,SOFT
ALO,2.0,103.149,SOFT
ALO,3.0,96.896,SOFT
ALO,4.0,96.838,SOFT
ALO,5.0,96.557,SOFT
ALO,6.0,96.688,SOFT
ALO,7.0,96.85,SOFT
ALO,8.0,96.301,SOFT
ALO,9.0,97.206,SOFT
ALO,10.0,97.104,SOFT
ALO,11.0,97.365,SOFT
ALO,12.0,97.37,SOFT
ALO,13.0,96.999,SOFT
ALO,14.0,96.988,SOFT
ALO,15.0,97.279,SOFT
ALO,16.0,97.062,SOFT
ALO,17.0,98.019,SOFT
STR,2.0,99.835,SOFT
STR,3.0,97.694,SOFT
STR,4.0,97.091,SOFT
STR,5.0,96.965,SOFT
STR,6.0,96.929,SOFT
STR,7.0,96.776,SOFT
STR,8.0,97.648,SOFT
STR,9.0,97.404,SOFT
STR,10.0,97.618,SOFT
STR,11.0,97.54,SOFT
STR,12.0,97.549,SOFT
STR,13.0,98.81,SOFT
STR,14.0,98.512,SOFT
STR,15.0,122.78,MEDIUM
STR,16.0,95.028,MEDIUM
PER,2.0,101.423,MEDIUM
PER,3.0,137.889,MEDIUM
PER,4.0,95.447,MEDIUM
