Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-07-04 10:26:24,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,1
2026-07-04 10:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-07-04 10:35:01,Other,PIT EXIT CLOSED,,,,,,1
2026-07-04 10:38:13,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,1
2026-07-04 10:38:40,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1
2026-07-04 10:38:49,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-07-04 10:39:53,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,1
2026-07-04 10:40:03,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,1
2026-07-04 10:41:46,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2026-07-04 10:43:10,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,1
2026-07-04 10:43:42,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,1
2026-07-04 10:43:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,1
2026-07-04 10:44:03,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,1
2026-07-04 10:45:19,Other,RISK OF RAIN FOR THE F1 SPRINT IS 10%,,,,,,1
2026-07-04 10:45:37,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
2026-07-04 10:46:35,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-07-04 10:47:31,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,1
2026-07-04 10:48:29,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,1
