Driver,LapNumber,LapTime,Compound
NOR,2.0,107.796,MEDIUM
NOR,4.0,108.214,MEDIUM
NOR,6.0,108.04,MEDIUM
NOR,7.0,118.177,MEDIUM
NOR,8.0,109.821,MEDIUM
NOR,9.0,109.391,MEDIUM
NOR,10.0,109.368,MEDIUM
NOR,11.0,109.396,MEDIUM
NOR,12.0,111.406,MEDIUM
NOR,13.0,115.269,MEDIUM
NOR,15.0,106.129,SOFT
NOR,17.0,107.449,SOFT
NOR,18.0,127.97,SOFT
VER,2.0,107.167,SOFT
VER,4.0,106.837,SOFT
VER,6.0,120.573,SOFT
VER,8.0,106.138,SOFT
VER,9.0,145.562,SOFT
VER,11.0,108.452,SOFT
BOR,2.0,108.492,SOFT
BOR,3.0,144.103,SOFT
BOR,5.0,108.464,SOFT
BOR,6.0,142.077,SOFT
BOR,8.0,109.481,SOFT
BOR,9.0,109.659,SOFT
BOR,10.0,116.331,SOFT
BOR,11.0,120.348,SOFT
BOR,13.0,107.049,SOFT
BOR,16.0,134.697,SOFT
HAD,2.0,108.231,MEDIUM
HAD,4.0,145.242,MEDIUM
HAD,5.0,107.507,MEDIUM
HAD,6.0,138.293,MEDIUM
HAD,9.0,121.888,MEDIUM
HAD,10.0,107.096,MEDIUM
HAD,11.0,127.133,MEDIUM
HAD,13.0,111.837,MEDIUM
HAD,14.0,111.842,MEDIUM
HAD,15.0,111.987,MEDIUM
HAD,16.0,111.763,MEDIUM
HAD,17.0,112.101,MEDIUM
GAS,2.0,109.035,MEDIUM
GAS,4.0,109.192,MEDIUM
GAS,6.0,108.085,MEDIUM
GAS,7.0,148.042,MEDIUM
GAS,9.0,112.526,MEDIUM
GAS,10.0,112.635,MEDIUM
GAS,11.0,113.399,MEDIUM
GAS,12.0,112.106,MEDIUM
GAS,13.0,111.853,MEDIUM
GAS,14.0,112.074,MEDIUM
GAS,15.0,138.606,MEDIUM
GAS,17.0,108.048,SOFT
GAS,19.0,107.949,SOFT
PER,2.0,111.969,SOFT
PER,3.0,146.899,SOFT
PER,4.0,110.323,SOFT
PER,5.0,134.193,SOFT
PER,6.0,109.711,SOFT
PER,9.0,112.734,SOFT
PER,10.0,112.582,SOFT
PER,11.0,113.021,SOFT
PER,12.0,114.664,SOFT
PER,13.0,114.443,SOFT
PER,14.0,130.925,SOFT
PER,16.0,108.99,SOFT
PER,18.0,109.006,SOFT
PER,19.0,136.758,SOFT
ANT,2.0,105.99,SOFT
ANT,3.0,141.55,SOFT
ANT,5.0,107.088,SOFT
ANT,6.0,132.012,SOFT
ANT,9.0,106.255,SOFT
ALO,2.0,112.639,SOFT
ALO,4.0,111.719,SOFT
ALO,5.0,143.725,SOFT
ALO,7.0,110.771,SOFT
ALO,9.0,141.48,SOFT
ALO,11.0,110.155,SOFT
ALO,13.0,111.369,SOFT
ALO,14.0,126.607,SOFT
LEC,2.0,107.89,SOFT
LEC,4.0,107.469,SOFT
LEC,6.0,107.122,SOFT
LEC,7.0,142.431,SOFT
LEC,9.0,107.238,SOFT
LEC,10.0,127.661,SOFT
LEC,11.0,148.296,SOFT
LEC,13.0,123.574,SOFT
LEC,14.0,106.75,SOFT
STR,2.0,112.963,SOFT
STR,4.0,112.297,SOFT
STR,5.0,141.825,SOFT
STR,7.0,111.279,SOFT
STR,9.0,131.922,SOFT
STR,11.0,110.631,SOFT
STR,13.0,110.94,SOFT
STR,15.0,130.637,SOFT
ALB,2.0,108.254,SOFT
ALB,4.0,108.17,SOFT
ALB,5.0,137.407,SOFT
ALB,7.0,111.115,SOFT
ALB,8.0,111.036,SOFT
ALB,9.0,111.004,SOFT
ALB,10.0,111.108,SOFT
ALB,11.0,110.994,SOFT
ALB,12.0,120.536,SOFT
ALB,14.0,107.99,SOFT
ALB,17.0,123.744,SOFT
HUL,2.0,108.708,SOFT
HUL,4.0,108.804,SOFT
HUL,5.0,147.742,SOFT
HUL,6.0,143.781,SOFT
HUL,7.0,110.881,SOFT
HUL,8.0,110.123,SOFT
HUL,9.0,112.827,SOFT
HUL,10.0,110.65,SOFT
HUL,11.0,114.702,SOFT
HUL,13.0,106.924,SOFT
HUL,16.0,107.823,SOFT
HUL,17.0,142.123,SOFT
LAW,2.0,107.786,SOFT
LAW,4.0,140.101,SOFT
LAW,5.0,107.69,SOFT
LAW,6.0,129.412,SOFT
LAW,8.0,109.067,SOFT
LAW,9.0,109.864,SOFT
LAW,10.0,110.209,SOFT
LAW,11.0,109.832,SOFT
LAW,12.0,110.742,SOFT
LAW,13.0,110.99,SOFT
LAW,14.0,115.589,SOFT
LAW,15.0,131.416,SOFT
LAW,17.0,107.294,SOFT
LAW,18.0,139.961,SOFT
LAW,20.0,107.833,SOFT
LAW,21.0,143.382,SOFT
LAW,22.0,148.88,SOFT
OCO,2.0,109.822,SOFT
OCO,4.0,109.358,SOFT
OCO,7.0,112.109,SOFT
OCO,8.0,112.107,SOFT
OCO,9.0,112.097,SOFT
OCO,10.0,114.512,SOFT
OCO,11.0,112.167,SOFT
OCO,12.0,112.553,SOFT
OCO,13.0,112.821,SOFT
OCO,14.0,119.66,SOFT
OCO,16.0,108.73,SOFT
OCO,18.0,147.251,SOFT
OCO,19.0,108.988,SOFT
LIN,2.0,108.21,SOFT
LIN,4.0,146.8,SOFT
LIN,5.0,107.342,SOFT
LIN,6.0,131.3,SOFT
LIN,8.0,110.794,SOFT
LIN,9.0,110.106,SOFT
LIN,10.0,109.938,SOFT
LIN,11.0,110.161,SOFT
LIN,12.0,110.583,SOFT
