Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-07-25 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-07-25 14:03:20,Other,CAR 55 (SAI) TIME 1:23.576 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:02:17,,,,,,
2026-07-25 14:05:51,Other,CAR 16 (LEC) TIME 1:18.878 DELETED - TRACK LIMITS AT TURN 3 LAP 3 16:04:20,,,,,,
2026-07-25 14:10:07,Other,CAR 5 (BOR) TIME 1:19.476 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:08:40,,,,,,
2026-07-25 14:10:12,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 4 16:08:19 (PIT),,,,,,
2026-07-25 14:12:12,Other,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 4 16:09:25 (PIT),,,,,,
2026-07-25 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-07-25 14:18:26,Other,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS),,,,,,
2026-07-25 14:19:12,Other,CAR 12 (ANT) TIME 1:18.554 DELETED - TRACK LIMITS AT TURN 14 LAP 7 16:16:02,,,,,,
2026-07-25 14:19:15,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP PIT),,,,,,
2026-07-25 14:20:39,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-07-25 14:20:46,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-07-25 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-07-25 14:30:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2026-07-25 14:30:09,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2026-07-25 14:30:23,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-07-25 14:30:23,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2026-07-25 14:30:49,Other,CAR 63 (RUS) TIME 1:42.565 DELETED - DOUBLE YELLOW AT TURN 12,,,,,,
2026-07-25 14:32:03,Other,INCIDENT INVOLVING CAR 16 (LEC) NOTED - YELLOW FLAG INFRINGEMENT (16:30:18),,,,,,
