Driver,LapNumber,GapTime
NOR,0.667,0.703
GAS,0.667,5.391
PER,0.667,9.75
ANT,0.667,3.344
ALO,0.667,6.859
LEC,0.667,2.672
STR,0.667,8.375
ALB,0.667,8.266
HUL,0.667,4.812
VER,0.667,1.7029999999999998
LAW,0.667,3.953
OCO,0.667,5.672
LIN,0.667,4.25
COL,0.667,6.641
HAM,0.667,2.25
BOR,0.667,5.828
SAI,0.667,7.828
HAD,0.667,3.5620000000000003
RUS,0.667,8.828
BOT,0.667,9.234
PIA,0.667,0.0
BEA,0.667,7.297
NOR,1.000,0.878
GAS,1.000,6.062
PER,1.000,11.0
ANT,1.000,3.547
ALO,1.000,7.89
LEC,1.000,2.6870000000000003
STR,1.000,9.969
ALB,1.000,9.703
HUL,1.000,5.5
VER,1.000,1.687
LAW,1.000,4.75
OCO,1.000,6.469
LIN,1.000,5.125
COL,1.000,7.453
HAM,1.000,2.187
BOR,1.000,6.672
SAI,1.000,9.0
HAD,1.000,4.078
RUS,1.000,9.75
BOT,1.000,10.469
PIA,1.000,0.0
BEA,1.000,8.484
NOR,1.333,0.628
GAS,1.333,6.476
PER,1.333,11.864
ANT,1.333,3.391
ALO,1.333,8.186
LEC,1.333,2.476
STR,1.333,10.931000000000001
ALB,1.333,10.567
HUL,1.333,6.094
VER,1.333,1.661
LAW,1.333,5.035
OCO,1.333,6.962
LIN,1.333,5.674
COL,1.333,7.929
HAM,1.333,2.048
BOR,1.333,7.235
SAI,1.333,9.568
HAD,1.333,3.936
RUS,1.333,10.172
BOT,1.333,11.214
PIA,1.333,0.0
BEA,1.333,8.786
NOR,1.667,0.713
GAS,1.667,7.774
PER,1.667,13.99
ANT,1.667,3.163
ALO,1.667,9.746
LEC,1.667,2.5620000000000003
STR,1.667,13.133
ALB,1.667,12.25
HUL,1.667,7.269
VER,1.667,1.516
LAW,1.667,5.444
OCO,1.667,8.228
LIN,1.667,6.7219999999999995
COL,1.667,9.255
HAM,1.667,1.991
BOR,1.667,8.497
SAI,1.667,10.795
HAD,1.667,4.03
RUS,1.667,11.148
BOT,1.667,13.537
PIA,1.667,0.0
BEA,1.667,10.157
NOR,2.000,0.909
GAS,2.000,8.534
PER,2.000,15.461
ANT,2.000,3.434
ALO,2.000,10.702
LEC,2.000,2.627
STR,2.000,14.644
ALB,2.000,13.39
HUL,2.000,7.868
VER,2.000,1.643
LAW,2.000,5.832
OCO,2.000,9.181
LIN,2.000,7.156
COL,2.000,10.124
HAM,2.000,1.98
BOR,2.000,9.402
SAI,2.000,11.911
HAD,2.000,4.291
RUS,2.000,12.21
BOT,2.000,14.448
PIA,2.000,0.0
BEA,2.000,11.296
NOR,2.333,0.814
GAS,2.333,8.581
PER,2.333,16.416
ANT,2.333,3.356
ALO,2.333,11.218
LEC,2.333,2.58
STR,2.333,15.022
ALB,2.333,14.155
HUL,2.333,8.078
VER,2.333,1.631
LAW,2.333,6.04
OCO,2.333,9.5
LIN,2.333,7.575
COL,2.333,10.745
HAM,2.333,1.921
BOR,2.333,9.724
SAI,2.333,13.189
HAD,2.333,4.351
RUS,2.333,12.612
BOT,2.333,15.526
PIA,2.333,0.0
BEA,2.333,11.886
NOR,2.667,0.808
GAS,2.667,9.818999999999999
PER,2.667,18.204
ANT,2.667,3.741
ALO,2.667,12.576
LEC,2.667,2.883
STR,2.667,16.333
ALB,2.667,15.68
HUL,2.667,8.984
VER,2.667,1.788
LAW,2.667,6.451
OCO,2.667,10.622
LIN,2.667,8.347
COL,2.667,12.199
HAM,2.667,2.291
BOR,2.667,10.958
SAI,2.667,14.834
HAD,2.667,4.434
RUS,2.667,13.453
BOT,2.667,17.552
PIA,2.667,0.0
BEA,2.667,13.179
NOR,3.000,0.944
GAS,3.000,10.387
PER,3.000,19.214
ANT,3.000,4.092
ALO,3.000,13.313
LEC,3.000,3.034
STR,3.000,17.111
