Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-08-23 12:12:06,Other,AWNINGS MAY BE USED,,,,,,1
2026-08-23 12:14:21,Other,LOW GRIP DELTA ACTIVE,,,,,,1
2026-08-23 12:14:24,Other,LOW GRIP CONDITIONS,,,,,,1
2026-08-23 12:14:27,Other,OVERTAKE DISABLED,,,,,,1
2026-08-23 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-08-23 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
2026-08-23 12:30:18,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-08-23 12:30:20,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,1
2026-08-23 12:30:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,1
2026-08-23 12:31:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,1
2026-08-23 12:31:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,1
2026-08-23 12:31:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
2026-08-23 12:31:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1
2026-08-23 12:31:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,1
2026-08-23 12:31:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,1
2026-08-23 12:31:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,1
2026-08-23 12:31:47,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,1
2026-08-23 12:32:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,1
2026-08-23 12:32:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,1
2026-08-23 12:32:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,1
2026-08-23 12:32:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,1
2026-08-23 12:32:25,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2026-08-23 12:32:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,1
2026-08-23 12:32:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,1
2026-08-23 12:34:48,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,1
2026-08-23 12:34:56,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,1
2026-08-23 12:36:09,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1
2026-08-23 12:36:25,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,1
2026-08-23 12:36:38,Other,INCIDENT INVOLVING CAR 3 (VER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,1
2026-08-23 12:36:56,Other,INCIDENT INVOLVING CAR 55 (SAI) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,1
2026-08-23 12:37:07,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,,,,,,1
2026-08-23 12:37:49,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,1
2026-08-23 12:38:44,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,1
