Driver,LapNumber,LapTime,Compound
ANT,2.0,88.317,MEDIUM
ANT,3.0,88.292,MEDIUM
ANT,5.0,73.668,MEDIUM
ANT,6.0,103.575,MEDIUM
ANT,7.0,98.548,MEDIUM
ANT,9.0,85.642,MEDIUM
ANT,10.0,72.511,MEDIUM
ANT,11.0,105.106,MEDIUM
ANT,13.0,84.999,SOFT
ANT,14.0,71.794,SOFT
NOR,2.0,82.546,MEDIUM
NOR,3.0,73.071,MEDIUM
NOR,4.0,106.043,MEDIUM
NOR,6.0,83.793,MEDIUM
NOR,7.0,72.514,MEDIUM
NOR,8.0,99.888,MEDIUM
NOR,9.0,98.203,MEDIUM
NOR,10.0,72.189,MEDIUM
NOR,11.0,96.555,MEDIUM
NOR,13.0,79.121,SOFT
NOR,14.0,71.608,SOFT
NOR,15.0,102.912,SOFT
RUS,2.0,89.19,MEDIUM
RUS,3.0,73.829,MEDIUM
RUS,4.0,101.501,MEDIUM
RUS,5.0,94.92,MEDIUM
RUS,6.0,73.45,MEDIUM
RUS,7.0,111.976,MEDIUM
RUS,8.0,73.278,MEDIUM
RUS,9.0,99.271,MEDIUM
RUS,11.0,89.566,MEDIUM
RUS,12.0,72.235,MEDIUM
RUS,13.0,104.735,MEDIUM
RUS,15.0,88.58,SOFT
RUS,16.0,71.567,SOFT
RUS,17.0,105.834,SOFT
HAM,2.0,91.942,MEDIUM
HAM,3.0,73.151,MEDIUM
HAM,4.0,98.029,MEDIUM
HAM,5.0,99.234,MEDIUM
HAM,6.0,83.29,MEDIUM
HAM,7.0,84.18,MEDIUM
HAM,9.0,92.124,MEDIUM
HAM,10.0,72.445,MEDIUM
HAM,11.0,100.19,MEDIUM
HAM,13.0,90.583,SOFT
HAM,14.0,72.191,SOFT
LEC,2.0,88.858,MEDIUM
LEC,3.0,73.229,MEDIUM
LEC,4.0,97.615,MEDIUM
LEC,5.0,73.013,MEDIUM
LEC,6.0,96.413,MEDIUM
LEC,7.0,73.011,MEDIUM
LEC,8.0,96.125,MEDIUM
LEC,10.0,84.83,MEDIUM
LEC,11.0,72.19,MEDIUM
LEC,12.0,100.69,MEDIUM
LEC,14.0,85.528,SOFT
LEC,15.0,71.622,SOFT
PIA,2.0,87.912,MEDIUM
PIA,3.0,73.126,MEDIUM
PIA,4.0,106.387,MEDIUM
PIA,6.0,87.701,MEDIUM
PIA,7.0,72.026,MEDIUM
PIA,8.0,100.661,MEDIUM
PIA,9.0,96.642,MEDIUM
PIA,10.0,72.108,MEDIUM
PIA,11.0,97.814,MEDIUM
PIA,13.0,87.998,SOFT
PIA,14.0,71.666,SOFT
HUL,2.0,87.021,MEDIUM
HUL,3.0,74.778,MEDIUM
HUL,4.0,103.959,MEDIUM
HUL,5.0,133.355,MEDIUM
HUL,6.0,74.284,MEDIUM
HUL,7.0,101.469,MEDIUM
HUL,9.0,73.926,MEDIUM
HUL,10.0,100.799,MEDIUM
HUL,12.0,73.616,MEDIUM
HUL,13.0,97.438,MEDIUM
GAS,2.0,73.977,MEDIUM
GAS,3.0,102.517,MEDIUM
GAS,4.0,106.334,MEDIUM
GAS,5.0,74.252,MEDIUM
GAS,6.0,103.187,MEDIUM
GAS,8.0,72.72,MEDIUM
GAS,9.0,103.351,MEDIUM
GAS,11.0,72.578,SOFT
BOR,2.0,73.73,MEDIUM
BOR,3.0,103.683,MEDIUM
BOR,4.0,100.785,MEDIUM
BOR,5.0,74.06,MEDIUM
BOR,6.0,102.103,MEDIUM
BOR,8.0,72.786,MEDIUM
BOR,9.0,100.453,MEDIUM
BOR,11.0,72.583,SOFT
LIN,2.0,83.864,MEDIUM
LIN,3.0,74.179,MEDIUM
LIN,4.0,106.053,MEDIUM
LIN,5.0,94.485,MEDIUM
LIN,6.0,74.057,MEDIUM
LIN,7.0,100.27,MEDIUM
LIN,9.0,86.262,MEDIUM
LIN,10.0,72.785,MEDIUM
LIN,11.0,95.169,MEDIUM
LIN,13.0,85.432,SOFT
LIN,14.0,72.737,SOFT
VER,2.0,89.101,MEDIUM
VER,3.0,73.851,MEDIUM
VER,4.0,107.792,MEDIUM
VER,5.0,105.066,MEDIUM
VER,6.0,73.585,MEDIUM
VER,7.0,99.099,MEDIUM
VER,9.0,88.082,MEDIUM
VER,10.0,72.771,MEDIUM
VER,11.0,103.442,MEDIUM
VER,13.0,90.584,SOFT
VER,14.0,72.094,SOFT
