Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-08-21 14:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-08-21 14:35:43,Other,TURN 6 INCIDENT INVOLVING CARS 31 (OCO) AND 11 (PER) NOTED - IMPEDING (16:32:21),,,,,,
2026-08-21 14:36:24,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 13 LAP 4 16:34:32 (PIT),,,,,,
2026-08-21 14:38:10,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 31 (OCO) AND 11 (PER) REVIEWED NO FURTHER INVESTIGATION - IMPEDING (16:32:21),,,,,,
2026-08-21 14:41:12,Other,TURN 5 INCIDENT INVOLVING CARS 3 (VER) AND 44 (HAM) NOTED - IMPEDING (16:39:36),,,,,,
2026-08-21 14:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-08-21 14:42:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2026-08-21 14:42:43,Other,CAR 14 (ALO) TIME 1:34.349 DELETED - TRACK LIMITS AT TURN 1 LAP 4 16:38:38,,,,,,
2026-08-21 14:44:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2026-08-21 14:44:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2026-08-21 14:45:05,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-08-21 14:45:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2026-08-21 14:45:20,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2026-08-21 14:45:57,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-08-21 14:46:26,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-08-21 14:46:45,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-08-21 14:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-08-21 14:50:34,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 31 (OCO), 30 (LAW), 41 (LIN), 55 (SAI), 18 (STR), 5 (BOR), 3 (VER), 63 (RUS), 12 (ANT), 10 (GAS) AND 77 (BOT) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-08-21 14:50:52,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 31 (OCO), 30 (LAW), 41 (LIN), 55 (SAI), 18 (STR), 5 (BOR), 3 (VER), 63 (RUS), 12 (ANT), 10 (GAS) AND 77 (BOT) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-08-21 14:50:56,Other,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 3 (VER) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - IMPEDING (16:39:36),,,,,,
2026-08-21 14:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-08-21 14:59:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2026-08-21 14:59:27,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 13 16:58:12 (PIT),,,,,,
2026-08-21 15:01:11,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-08-21 15:01:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2026-08-21 15:01:35,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-08-21 15:03:11,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-08-21 15:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-08-21 15:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-08-21 15:14:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2026-08-21 15:16:26,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-08-21 15:16:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2026-08-21 15:16:41,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-08-21 15:17:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2026-08-21 15:17:04,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-08-21 15:17:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2026-08-21 15:17:12,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 31 (OCO), 30 (LAW), 41 (LIN), 18 (STR), 5 (BOR), 3 (VER), 63 (RUS), 12 (ANT), 10 (GAS) AND 77 (BOT) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2026-08-21 15:17:18,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CAR 30 (LAW) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-08-21 15:17:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2026-08-21 15:17:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2026-08-21 15:17:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
2026-08-21 15:17:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2026-08-21 15:17:58,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2026-08-21 15:18:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-08-21 15:18:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,
2026-08-21 15:18:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2026-08-21 15:18:08,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2026-08-21 15:18:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2026-08-21 15:18:52,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2026-08-21 15:18:53,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2026-08-21 15:19:02,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-08-21 15:19:02,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2026-08-21 15:19:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2026-08-21 15:19:51,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2026-08-21 15:20:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2026-08-21 15:20:10,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
