Driver,LapNumber,GapTime
RUS,0.667,0.0
NOR,0.667,1.1400000000000001
LEC,0.667,1.75
PIA,0.667,2.75
ANT,0.667,2.39
VER,0.667,2.859
HAM,0.667,3.555
GAS,0.667,4.313
BOR,0.667,4.805
LIN,0.667,5.358
LAW,0.667,5.539
TSU,0.667,6.533
COL,0.667,6.231
HUL,0.667,8.314
OCO,0.667,6.97
ALB,0.667,7.845
BEA,0.667,7.361
STR,0.667,8.47
BOT,0.667,9.104
PER,0.667,205.475
SAI,0.667,11.989
ALO,0.667,12.523
RUS,1.000,0.0
NOR,1.000,1.141
LEC,1.000,1.669
PIA,1.000,2.975
ANT,1.000,2.392
VER,1.000,3.412
HAM,1.000,3.993
GAS,1.000,4.763
BOR,1.000,5.253
LIN,1.000,6.2780000000000005
LAW,1.000,6.834
TSU,1.000,7.609
COL,1.000,7.11
HUL,1.000,9.773
OCO,1.000,8.046
ALB,1.000,9.081
BEA,1.000,8.636
STR,1.000,9.846
BOT,1.000,10.336
PER,1.000,210.792
SAI,1.000,12.469
ALO,1.000,13.001
RUS,1.333,0.0
NOR,1.333,1.285
LEC,1.333,1.932
PIA,1.333,3.008
ANT,1.333,2.248
VER,1.333,3.559
HAM,1.333,4.505
GAS,1.333,5.727
BOR,1.333,6.067
LIN,1.333,6.939
LAW,1.333,7.673
TSU,1.333,8.567
COL,1.333,8.358
HUL,1.333,11.866
OCO,1.333,9.422
ALB,1.333,10.281
BEA,1.333,9.596
STR,1.333,10.879
BOT,1.333,12.079
PER,1.333,212.507
SAI,1.333,12.957
ALO,1.333,13.521
RUS,1.667,0.0
NOR,1.667,1.194
LEC,1.667,2.125
PIA,1.667,3.426
ANT,1.667,2.649
VER,1.667,4.154
HAM,1.667,5.123
GAS,1.667,6.636
BOR,1.667,7.305
LIN,1.667,8.019
LAW,1.667,8.783
TSU,1.667,10.05
COL,1.667,9.49
HUL,1.667,13.782
OCO,1.667,10.781
ALB,1.667,11.957
BEA,1.667,11.305
STR,1.667,12.429
BOT,1.667,14.274000000000001
PER,1.667,213.392
SAI,1.667,14.612
ALO,1.667,14.706
RUS,2.000,0.0
NOR,2.000,1.2429999999999999
LEC,2.000,1.915
PIA,2.000,3.551
ANT,2.000,2.7279999999999998
VER,2.000,4.621
HAM,2.000,5.392
GAS,2.000,7.058
BOR,2.000,7.607
LIN,2.000,8.632
LAW,2.000,9.506
TSU,2.000,10.651
COL,2.000,10.016
HUL,2.000,14.953
OCO,2.000,11.423
ALB,2.000,12.807
BEA,2.000,11.993
STR,2.000,13.121
BOT,2.000,14.992
PER,2.000,213.957
SAI,2.000,16.406
ALO,2.000,15.874
RUS,2.333,0.0
NOR,2.333,1.287
LEC,2.333,2.002
PIA,2.333,3.417
ANT,2.333,2.593
VER,2.333,4.9399999999999995
HAM,2.333,5.649
GAS,2.333,7.735
BOR,2.333,8.248
LIN,2.333,9.202
LAW,2.333,10.202
TSU,2.333,11.442
COL,2.333,10.913
HUL,2.333,17.704
OCO,2.333,12.395
ALB,2.333,13.772
BEA,2.333,12.587
STR,2.333,14.211
BOT,2.333,16.065
PER,2.333,214.613
SAI,2.333,17.819
ALO,2.333,17.345
RUS,2.667,0.0
NOR,2.667,1.127
LEC,2.667,1.9769999999999999
PIA,2.667,3.404
ANT,2.667,2.648
VER,2.667,5.097
HAM,2.667,5.775
GAS,2.667,8.265
BOR,2.667,8.896
LIN,2.667,9.879
LAW,2.667,10.727
TSU,2.667,12.466
COL,2.667,11.767
HUL,2.667,19.096
OCO,2.667,13.519
ALB,2.667,15.045
BEA,2.667,13.931000000000001
STR,2.667,15.522
BOT,2.667,17.158
PER,2.667,215.487
SAI,2.667,19.646
ALO,2.667,18.088
RUS,3.000,0.0
NOR,3.000,1.08
LEC,3.000,1.933
PIA,3.000,3.596
ANT,3.000,2.672
VER,3.000,5.218
HAM,3.000,5.802
GAS,3.000,8.674
BOR,3.000,9.318
LIN,3.000,10.455
LAW,3.000,11.267
TSU,3.000,12.956
COL,3.000,12.353
HUL,3.000,20.24
OCO,3.000,14.005
ALB,3.000,15.67
BEA,3.000,14.627
STR,3.000,16.206
BOT,3.000,17.701999999999998
PER,3.000,216.14
SAI,3.000,20.425
ALO,3.000,18.83
RUS,3.333,0.0
NOR,3.333,1.036
LEC,3.333,1.871
PIA,3.333,3.355
ANT,3.333,2.289
VER,3.333,5.234
HAM,3.333,5.939
GAS,3.333,9.171
BOR,3.333,9.881
LIN,3.333,10.839
LAW,3.333,11.609
TSU,3.333,13.259
COL,3.333,12.619
HUL,3.333,22.167
OCO,3.333,14.451
ALB,3.333,16.386
BEA,3.333,15.105
STR,3.333,16.901
BOT,3.333,18.575
PER,3.333,217.042
SAI,3.333,21.011
ALO,3.333,19.507
RUS,3.667,0.0
NOR,3.667,0.974
