Driver,LapNumber,LapTime,Compound
RUS,2.0,75.649,MEDIUM
RUS,3.0,75.279,MEDIUM
RUS,4.0,75.448,MEDIUM
RUS,5.0,74.936,MEDIUM
RUS,6.0,75.116,MEDIUM
RUS,7.0,75.658,MEDIUM
RUS,8.0,75.297,MEDIUM
RUS,9.0,75.653,MEDIUM
RUS,10.0,75.711,MEDIUM
RUS,11.0,76.099,MEDIUM
RUS,12.0,76.028,MEDIUM
RUS,13.0,75.877,MEDIUM
RUS,14.0,75.927,MEDIUM
RUS,15.0,76.324,MEDIUM
RUS,16.0,76.181,MEDIUM
RUS,17.0,76.373,MEDIUM
RUS,18.0,76.261,MEDIUM
RUS,19.0,76.032,MEDIUM
RUS,20.0,76.264,MEDIUM
RUS,21.0,76.258,MEDIUM
RUS,22.0,76.253,MEDIUM
RUS,23.0,76.443,MEDIUM
RUS,24.0,76.842,MEDIUM
NOR,2.0,75.765,MEDIUM
NOR,3.0,75.116,MEDIUM
NOR,4.0,75.257,MEDIUM
NOR,5.0,74.881,MEDIUM
NOR,6.0,75.343,MEDIUM
NOR,7.0,75.576,MEDIUM
NOR,8.0,75.439,MEDIUM
NOR,9.0,75.824,MEDIUM
NOR,10.0,76.157,MEDIUM
NOR,11.0,76.069,MEDIUM
NOR,12.0,75.775,MEDIUM
NOR,13.0,76.004,MEDIUM
NOR,14.0,75.825,MEDIUM
NOR,15.0,76.065,MEDIUM
NOR,16.0,76.223,MEDIUM
NOR,17.0,76.282,MEDIUM
NOR,18.0,77.909,MEDIUM
NOR,19.0,76.149,MEDIUM
NOR,20.0,76.528,MEDIUM
NOR,21.0,76.434,MEDIUM
NOR,22.0,76.547,MEDIUM
NOR,23.0,76.988,MEDIUM
NOR,24.0,77.837,MEDIUM
LEC,2.0,75.845,SOFT
LEC,3.0,75.297,SOFT
LEC,4.0,75.119,SOFT
LEC,5.0,75.049,SOFT
LEC,6.0,75.6,SOFT
LEC,7.0,75.436,SOFT
LEC,8.0,75.362,SOFT
LEC,9.0,75.643,SOFT
LEC,10.0,76.018,SOFT
LEC,11.0,75.954,SOFT
LEC,12.0,75.781,SOFT
LEC,13.0,76.003,SOFT
LEC,14.0,76.092,SOFT
LEC,15.0,75.921,SOFT
LEC,16.0,76.038,SOFT
LEC,17.0,76.075,SOFT
LEC,18.0,76.255,SOFT
LEC,19.0,75.961,SOFT
LEC,20.0,76.342,SOFT
LEC,21.0,76.192,SOFT
LEC,22.0,76.371,SOFT
LEC,23.0,76.225,SOFT
LEC,24.0,76.968,SOFT
PIA,2.0,76.216,MEDIUM
PIA,3.0,75.324,MEDIUM
PIA,4.0,75.364,MEDIUM
PIA,5.0,75.446,MEDIUM
PIA,6.0,75.688,MEDIUM
PIA,7.0,76.18,MEDIUM
PIA,8.0,75.558,MEDIUM
PIA,9.0,76.003,MEDIUM
PIA,10.0,75.958,MEDIUM
PIA,11.0,76.284,MEDIUM
PIA,12.0,76.701,MEDIUM
PIA,13.0,76.299,MEDIUM
PIA,14.0,76.116,MEDIUM
PIA,15.0,76.342,MEDIUM
PIA,16.0,76.073,MEDIUM
PIA,17.0,76.598,MEDIUM
PIA,18.0,76.438,MEDIUM
PIA,19.0,76.6,MEDIUM
PIA,20.0,76.582,MEDIUM
PIA,21.0,76.619,MEDIUM
PIA,22.0,76.64,MEDIUM
PIA,23.0,76.849,MEDIUM
PIA,24.0,77.234,MEDIUM
ANT,2.0,75.977,MEDIUM
ANT,3.0,75.223,MEDIUM
ANT,4.0,74.99,MEDIUM
ANT,5.0,75.033,MEDIUM
ANT,6.0,75.582,MEDIUM
ANT,7.0,75.662,MEDIUM
ANT,8.0,75.167,MEDIUM
ANT,9.0,75.923,MEDIUM
ANT,10.0,75.968,MEDIUM
ANT,11.0,75.825,MEDIUM
ANT,12.0,75.953,MEDIUM
ANT,13.0,75.981,MEDIUM
ANT,14.0,75.974,MEDIUM
ANT,15.0,75.994,MEDIUM
ANT,16.0,76.268,MEDIUM
ANT,17.0,76.142,MEDIUM
ANT,18.0,77.079,MEDIUM
ANT,19.0,76.536,MEDIUM
ANT,20.0,76.358,MEDIUM
ANT,21.0,76.235,MEDIUM
ANT,22.0,76.741,MEDIUM
ANT,23.0,76.584,MEDIUM
ANT,24.0,77.892,MEDIUM
VER,2.0,76.794,MEDIUM
VER,3.0,75.876,MEDIUM
VER,4.0,75.907,MEDIUM
VER,5.0,75.748,MEDIUM
VER,6.0,75.701,MEDIUM
VER,7.0,75.873,MEDIUM
VER,8.0,75.443,MEDIUM
VER,9.0,75.903,MEDIUM
VER,10.0,75.871,MEDIUM
VER,11.0,75.919,MEDIUM
VER,12.0,76.007,MEDIUM
VER,13.0,76.293,MEDIUM
VER,14.0,76.412,MEDIUM
VER,15.0,76.62,MEDIUM
VER,16.0,76.175,MEDIUM
VER,17.0,76.484,MEDIUM
VER,18.0,76.347,MEDIUM
VER,19.0,76.302,MEDIUM
VER,20.0,76.327,MEDIUM
VER,21.0,76.749,MEDIUM
