Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-08-22 09:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-08-22 09:32:11,Other,INCIDENT INVOLVING CAR 5 (BOR) NOTED - UNSAFE RELEASE (11:29:31),,,,,,1
2026-08-22 09:33:18,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 5 (BOR) WILL BE INVESTIGATED AFTER THE SPRINT - UNSAFE RELEASE (11:29:31),,,,,,1
2026-08-22 09:35:01,Other,PIT EXIT CLOSED,,,,,,1
2026-08-22 09:39:33,Other,INCIDENT INVOLVING CAR 77 (BOT) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:32:42),,,,,,1
2026-08-22 09:39:41,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-08-22 09:39:56,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-08-22 09:40:48,Other,INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:56),,,,,,1
2026-08-22 09:42:37,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 77 (BOT) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:32:42),,,,,,1
2026-08-22 09:42:57,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:56),,,,,,1
2026-08-22 09:44:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,1
2026-08-22 09:44:54,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,1
2026-08-22 09:45:14,Other,RISK OF RAIN FOR THE F1 SPRINT IS 20%,,,,,,1
2026-08-22 09:45:31,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-08-22 09:49:21,Other,INCIDENT INVOLVING CAR 3 (VER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:26),,,,,,1
2026-08-22 09:51:21,Other,INCIDENT INVOLVING CAR 22 (TSU) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:12),,,,,,1
2026-08-22 09:51:26,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 3 (VER) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:26),,,,,,1
2026-08-22 09:52:15,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (11:34:12),,,,,,1
2026-08-22 09:52:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,1
2026-08-22 09:53:25,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-08-22 09:57:03,Other,OVERTAKE DISABLED,,,,,,1
2026-08-22 10:00:35,Other,YELLOW IN PIT LANE,,,,,,1
2026-08-22 10:00:56,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,1
2026-08-22 10:01:05,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-08-22 10:02:25,Other,PIT LANE CLEAR,,,,,,1
2026-08-22 10:03:10,Other,SPRINT START,,,,,,1
2026-08-22 10:03:21,Other,PIT EXIT OPEN,,,,,,1
2026-08-22 10:04:16,Other,OVERTAKE ENABLED,,,,,,1
2026-08-22 10:07:03,Other,INCIDENT INVOLVING CARS 55 (SAI) AND 77 (BOT) NOTED - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE (12:02:45),,,,,,4
2026-08-22 10:09:04,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 55 (SAI) AND 77 (BOT) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE (12:02:45),,,,,,5
2026-08-22 10:09:56,Other,FIA STEWARDS: WARNING FOR CAR 55 (SAI) - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE (12:02:45),,,,,,6
2026-08-22 10:15:11,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 12:15:11,,BLUE,Driver,,11,10
2026-08-22 10:15:28,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 12:15:27,,BLUE,Driver,,11,10
