Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-09-04 10:20:56,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2026-09-04 10:27:09,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,
2026-09-04 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-09-04 10:33:14,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-09-04 10:44:50,Other,CAR 46 (BRO) TIME 1:29.296 DELETED - TRACK LIMITS AT TURN 1 LAP 5 12:43:11,,,,,,
2026-09-04 10:45:57,Other,CAR 41 (LIN) TIME 2:34.639 DELETED - TRACK LIMITS AT TURN 4 LAP 9 12:43:44,,,,,,
2026-09-04 10:47:23,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2026-09-04 10:47:23,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-09-04 10:47:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2026-09-04 10:47:51,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-09-04 10:47:58,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-09-04 10:48:08,Other,MARSHALS ON TRACK AT TURN 6,,,,,,
2026-09-04 10:48:15,Other,CAR 46 (BRO) TIME 1:43.115 DELETED - TRACK LIMITS AT TURN 1 LAP 7 12:46:37,,,,,,
2026-09-04 10:49:29,Other,CAR 16 (LEC) LAP DELETED - DOUBLE YELLOW AT TURN 6 LAP 11 12:47:26 (PIT),,,,,,
2026-09-04 10:49:31,Other,CAR 22 (TSU) LAP DELETED - DOUBLE YELLOW AT TURN 7 LAP 10 12:47:26 (PIT),,,,,,
2026-09-04 10:49:36,Flag,RED FLAG,,RED,Track,,,
2026-09-04 10:49:36,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-09-04 10:49:52,Other,CAR 31 (OCO) TIME 2:32.705 DELETED - DOUBLE YELLOW AT TURN 6 LAP 7 12:47:26,,,,,,
2026-09-04 10:49:55,Other,CAR 1 (NOR) LAP DELETED - DOUBLE YELLOW AT TURN 5 LAP 10 12:47:28 (PIT),,,,,,
2026-09-04 10:50:16,Other,CAR 77 (BOT) LAP DELETED - DOUBLE YELLOW AT TURN 5 LAP 11 12:47:32 (PIT),,,,,,
2026-09-04 10:50:23,Other,CAR 87 (BEA) TIME 2:03.592 DELETED - DOUBLE YELLOW AT TURN 5 LAP 10 12:47:39,,,,,,
2026-09-04 10:50:26,Other,CAR 43 (COL) LAP DELETED - DOUBLE YELLOW AT TURN 5 LAP 10 12:47:47 (PIT),,,,,,
2026-09-04 10:50:29,Other,CAR 41 (LIN) LAP DELETED - DOUBLE YELLOW AT TURN 5 LAP 11 12:47:48 (PIT),,,,,,
2026-09-04 10:51:33,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-09-04 10:51:36,Other,OVERTAKE ENABLED,,,,,,
2026-09-04 10:51:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2026-09-04 10:51:55,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-09-04 10:52:00,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2026-09-04 10:52:10,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-09-04 10:52:22,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2026-09-04 10:52:22,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2026-09-04 10:54:30,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2026-09-04 10:54:38,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2026-09-04 10:54:44,Other,SESSION WILL RESUME AT 12:56,,,,,,
2026-09-04 10:54:53,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-09-04 10:54:55,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2026-09-04 10:55:03,Other,CAR 30 (LAW) TIME 1:24.196 DELETED - TRACK LIMITS AT TURN 5 LAP 8 12:43:54,,,,,,
2026-09-04 10:56:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-09-04 11:00:41,Other,CAR 46 (BRO) TIME 1:37.620 DELETED - TRACK LIMITS AT TURN 2 LAP 10 12:58:21,,,,,,
2026-09-04 11:04:41,Other,CAR 44 (HAM) TIME 1:53.398 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:01:21,,,,,,
2026-09-04 11:07:22,Other,CAR 41 (LIN) TIME 2:12.515 DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:02:30,,,,,,
2026-09-04 11:10:29,Other,TURN 4 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) NOTED (13:05:31),,,,,,
2026-09-04 11:12:53,Other,CAR 41 (LIN) TIME 2:12.515 DELETED - TRACK LIMITS AT TURN 4 LAP 15 13:03:05,,,,,,
2026-09-04 11:16:01,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) REVIEWED NO FURTHER INVESTIGATION (13:05:31),,,,,,
2026-09-04 11:16:09,Other,CAR 12 (ANT) TIME 6:16.347 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:05:52,,,,,,
2026-09-04 11:16:18,Other,CAR 1 (NOR) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 15 13:05:53 (PIT),,,,,,
2026-09-04 11:16:35,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 11 13:05:59 (PIT),,,,,,
2026-09-04 11:17:07,Other,CAR 46 (BRO) TIME 1:40.571 DELETED - TRACK LIMITS AT TURN 1 LAP 16 13:13:25,,,,,,
2026-09-04 11:18:51,Other,CAR 41 (LIN) TIME 2:12.515 WILL BE REINSTATED,,,,,,
2026-09-04 11:19:14,Other,CAR 22 (TSU) TIME 1:57.015 DELETED - TRACK LIMITS AT TURN 4 LAP 14 13:02:58,,,,,,
2026-09-04 11:22:41,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 19 13:21:06 (PIT),,,,,,
2026-09-04 11:23:41,Other,CAR 87 (BEA) TIME 1:32.502 DELETED - TRACK LIMITS AT TURN 1 LAP 22 13:21:27,,,,,,
2026-09-04 11:24:45,Other,CAR 12 (ANT) TIME 1:26.298 DELETED - TRACK LIMITS AT TURN 5 LAP 24 13:23:39,,,,,,
2026-09-04 11:24:46,Other,CAR 81 (PIA) TIME 1:26.704 DELETED - TRACK LIMITS AT TURN 5 LAP 21 13:23:54,,,,,,
2026-09-04 11:26:53,Other,CAR 44 (HAM) TIME 1:27.793 DELETED - TRACK LIMITS AT TURN 1 LAP 22 13:25:27,,,,,,
2026-09-04 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-09-04 11:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
2026-09-04 11:31:12,Other,CAR 27 (HUL) TIME 1:27.089 DELETED - TRACK LIMITS AT TURN 1 LAP 25 13:27:56,,,,,,
2026-09-04 11:31:22,Other,CAR 44 (HAM) TIME 1:28.776 DELETED - TRACK LIMITS AT TURN 5 LAP 24 13:28:43,,,,,,
2026-09-04 11:32:07,Other,CAR 14 (ALO) TIME 1:25.780 DELETED - TRACK LIMITS AT TURN 7 LAP 15 13:21:31,,,,,,
2026-09-04 11:32:41,Other,CAR 44 (HAM) TIME 1:27.946 DELETED - TRACK LIMITS AT TURN 5 LAP 25 13:30:19,,,,,,
2026-09-04 11:36:26,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2026-09-04 11:36:26,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-09-04 11:37:46,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-09-04 11:37:46,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-09-04 11:37:47,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2026-09-04 11:37:55,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2026-09-04 11:38:22,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2026-09-04 11:38:22,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
