Driver,LapNumber,LapTime,Compound
NOR,2.0,84.06,HARD
NOR,3.0,139.286,HARD
NOR,4.0,84.152,HARD
NOR,5.0,130.094,HARD
NOR,6.0,83.796,HARD
NOR,7.0,114.044,HARD
NOR,9.0,103.177,SOFT
NOR,10.0,82.943,SOFT
NOR,11.0,133.511,SOFT
NOR,12.0,82.99,SOFT
NOR,13.0,97.088,SOFT
NOR,15.0,86.361,HARD
NOR,16.0,86.28,HARD
NOR,17.0,86.69,HARD
NOR,18.0,86.311,HARD
NOR,19.0,89.487,HARD
NOR,20.0,86.887,HARD
NOR,21.0,91.033,HARD
NOR,22.0,106.951,SOFT
NOR,23.0,107.037,SOFT
NOR,25.0,146.527,SOFT
VER,2.0,84.719,MEDIUM
VER,3.0,142.547,MEDIUM
VER,4.0,85.23,MEDIUM
VER,5.0,119.903,MEDIUM
VER,6.0,141.483,MEDIUM
VER,7.0,83.95,MEDIUM
VER,8.0,126.738,MEDIUM
VER,9.0,121.673,MEDIUM
VER,10.0,83.749,MEDIUM
VER,11.0,99.552,MEDIUM
VER,13.0,83.487,SOFT
VER,14.0,121.758,SOFT
VER,15.0,83.377,SOFT
VER,16.0,99.713,SOFT
VER,18.0,86.641,MEDIUM
VER,19.0,86.45,MEDIUM
VER,20.0,86.605,MEDIUM
VER,21.0,86.741,MEDIUM
VER,22.0,86.174,MEDIUM
VER,23.0,90.993,MEDIUM
VER,24.0,113.477,MEDIUM
VER,25.0,86.486,MEDIUM
VER,26.0,86.074,MEDIUM
VER,27.0,85.841,MEDIUM
VER,28.0,134.691,MEDIUM
BOR,2.0,84.666,HARD
BOR,3.0,146.147,HARD
BOR,4.0,84.586,HARD
BOR,5.0,139.641,HARD
BOR,6.0,140.41,HARD
BOR,7.0,84.111,HARD
BOR,8.0,135.557,HARD
BOR,9.0,118.038,HARD
BOR,10.0,83.776,HARD
BOR,11.0,112.509,HARD
BOR,13.0,119.221,SOFT
BOR,14.0,84.059,SOFT
BOR,15.0,144.911,SOFT
BOR,16.0,137.151,SOFT
BOR,17.0,89.213,SOFT
BOR,19.0,87.408,HARD
BOR,20.0,87.073,HARD
BOR,21.0,88.099,HARD
BOR,22.0,106.043,HARD
GAS,2.0,85.595,HARD
GAS,3.0,125.587,HARD
GAS,4.0,84.571,HARD
GAS,5.0,123.471,HARD
GAS,6.0,84.312,HARD
GAS,7.0,124.941,HARD
GAS,8.0,84.35,HARD
GAS,9.0,118.335,HARD
GAS,11.0,83.803,SOFT
GAS,12.0,135.675,SOFT
GAS,13.0,117.739,SOFT
GAS,14.0,83.773,SOFT
GAS,15.0,112.702,SOFT
GAS,17.0,87.339,HARD
GAS,18.0,87.027,HARD
GAS,19.0,87.636,HARD
GAS,20.0,87.619,HARD
GAS,21.0,86.755,HARD
GAS,22.0,86.804,HARD
