Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-09-05 13:50:42,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-09-05 13:50:44,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2026-09-05 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-09-05 14:05:08,Other,CAR 1 (NOR) TIME 1:39.935 DELETED - TRACK LIMITS AT TURN 1 LAP 3 16:03:30,,,,,,
2026-09-05 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-09-05 14:18:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 41 (LIN),,,,,,
2026-09-05 14:18:10,Other,CAR 81 (PIA) TIME 1:47.848 DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:16:19,,,,,,
2026-09-05 14:20:16,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2026-09-05 14:20:16,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-09-05 14:20:19,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-09-05 14:20:32,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-09-05 14:20:32,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-09-05 14:20:34,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-09-05 14:20:37,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2026-09-05 14:21:32,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 12 (ANT) AND 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-09-05 14:21:44,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 12 (ANT) AND 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-09-05 14:21:59,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2026-09-05 14:22:12,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-09-05 14:22:34,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-09-05 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-09-05 14:38:09,Other,INCIDENT INVOLVING CARS 81 (PIA) AND 27 (HUL) NOTED - PIT LANE INFRINGEMENT (16:29:34),,,,,,
2026-09-05 14:39:48,Other,TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 30 (LAW) NOTED - IMPEDING (16:38:00),,,,,,
2026-09-05 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-09-05 14:40:01,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 81 (PIA) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - PIT LANE INFRINGEMENT (16:29:34),,,,,,
2026-09-05 14:40:28,Other,FIRST CAR TO TAKE THE FLAG - CAR 16 (LEC),,,,,,
2026-09-05 14:41:19,Other,CAR 30 (LAW) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 18 16:39:28 (PIT),,,,,,
2026-09-05 14:41:29,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-09-05 14:41:29,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-09-05 14:41:31,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-09-05 14:41:47,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2026-09-05 14:41:50,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-09-05 14:41:50,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2026-09-05 14:41:53,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-09-05 14:43:34,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 30 (LAW) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-09-05 14:43:43,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 81 (PIA) AND 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING (16:38:00),,,,,,
2026-09-05 14:43:46,Other,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 30 (LAW) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2026-09-05 14:44:33,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2026-09-05 14:44:57,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-09-05 14:45:13,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
