Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-09-06 12:19:26,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,1
2026-09-06 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-09-06 12:23:44,Other,INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:20:30),,,,,,1
2026-09-06 12:27:54,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:20:30),,,,,,1
2026-09-06 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
2026-09-06 12:31:54,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-09-06 12:31:55,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,1
2026-09-06 12:32:01,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,1
2026-09-06 12:32:03,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1
2026-09-06 12:32:04,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,1
2026-09-06 12:32:09,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,1
2026-09-06 12:33:20,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,1
2026-09-06 12:34:34,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,1
2026-09-06 12:35:06,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
2026-09-06 12:35:11,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,1
2026-09-06 12:35:32,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,1
2026-09-06 12:36:18,Other,INCIDENT INVOLVING CAR 43 (COL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – PRACTICE START INFRINGEMENT (14:27:01),,,,,,1
2026-09-06 12:37:39,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,1
2026-09-06 12:39:22,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,1
2026-09-06 12:39:33,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
