Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-09-13 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-09-13 12:25:09,Other,YELLOW IN PIT LANE,,,,,,1
2026-09-13 12:28:02,Other,PIT LANE CLEAR,,,,,,1
2026-09-13 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
2026-09-13 12:45:08,Other,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,,,1
2026-09-13 12:50:20,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,1
2026-09-13 12:50:41,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2026-09-13 12:57:03,Other,OVERTAKE DISABLED,,,,,,1
2026-09-13 13:04:04,Other,RACE START,,,,,,1
2026-09-13 13:04:15,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-09-13 13:04:15,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,1
2026-09-13 13:04:18,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-09-13 13:04:23,Other,PIT EXIT OPEN,,,,,,1
2026-09-13 13:04:33,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,1
2026-09-13 13:05:39,Other,OVERTAKE ENABLED,,,,,,1
2026-09-13 13:09:06,Other,TURN 1 INCIDENT INVOLVING CAR 3 (VER) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:04:12),,,,,,4
2026-09-13 13:09:49,Other,TURN 1 INCIDENT INVOLVING CARS 55 (SAI) AND 22 (TSU) NOTED - CAUSING A COLLISION (15:04:12),,,,,,4
2026-09-13 13:10:55,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CAR 3 (VER) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE (15:04:12),,,,,,5
2026-09-13 13:11:01,Other,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 5 LAP 1 15:04:34,,,,,,5
2026-09-13 13:11:03,Other,CAR 44 (HAM) TIME 1:43.055 DELETED - TRACK LIMITS AT TURN 1 LAP 4 15:09:18,,,,,,5
2026-09-13 13:12:24,Flag,YELLOW IN TRACK SECTOR 23,,YELLOW,Sector,23.0,,5
2026-09-13 13:12:25,Flag,YELLOW IN TRACK SECTOR 22,,YELLOW,Sector,22.0,,5
